index_id,item,evidence_paths,classification,required_treatment,blocker_or_guardrail
NR-028,Historical fantasy finish foundation,C:/NWR_REVIEW/historical_fantasy_finish_foundation_nwr_20260703/,RETAIN_INDEPENDENT,Do not select over Outcome V2 without parity.,scoring conflicts
NR-029,Historical model lab targets,C:/NWR_REVIEW/nwr_historical_model_lab_extended_run_20260703/,RETAIN_INDEPENDENT,Do not merge with Formula Data Mart labels.,target conflicts
NR-030,Outcome V2 row-level source admission,docs/hq/outcomes/outcome_row_level_label_source_admission_v1_20260630/,RETAIN_NO_RECREATE,Reuse compact source and semantics.,rookie applicability separate
NR-031,Player Compare,app/pages/22_player_compare_v1.py | docs/hq/player_compare_safe_context_ux_upgrade_20260630/,DO_NOT_RECREATE,Existing consumer; no new compare engine.,name+position fallback is non-controlling
NR-032,Trading Lab,app/pages/23_trading_lab_v1.py | docs/hq/trading_lab/,DO_NOT_RECREATE,Manual planner stays manual.,no automated valuation
NR-033,Development Lab,app/pages/35_development_lab_v1.py | docs/hq/development_lab/,DO_NOT_RECREATE,Existing safe review surface.,no model/source truth
NR-034,Data Health,app/pages/28_settings_data_health_v1.py | src/services/data_health_dashboard_service.py,DO_NOT_RECREATE,Reuse diagnostics only.,does not admit/repair sources
NR-035,Live and Mock Draft foundations,app/pages/21_live_draft_room_v1.py | app/pages/24_mock_draft_v1.py,DO_NOT_RECREATE,Preserve separate runtime state and behavior.,no workspace wiring now
NR-036,Source registry,config/source_registry.csv,PROTECTED_NO_CHANGE,Read-only authority input.,scoped gate precedence
NR-037,2026 prospective freeze,docs/hq/model/formula_temporal_validation_framework_prospective_2026_challenger_freeze_v1_20260710/,FROZEN_IMMUTABLE,Never rewrite/recreate comparators.,future outcomes only
NR-038,Plugin research,docs/hq/master/fantasy_plugin_research_canonicalization_closeout_v1_20260711/,DO_NOT_REOPEN,Manual-only 0%; do not call Flaim/FantasyBot.,rights/privacy
NR-039,Existing manual-review queues,docs/hq/**/manual*review* | docs/hq/**/review*queue*,DO_NOT_RECREATE,"Future workspace references source queue entries and adds typed routing, not a silent replacement.",closure receipts required
NR-040,Current-only market/ADP,config/source_registry.csv market rows + existing display packets,PARK_HISTORICAL_USE,No historical backfill from current data.,point-in-time receipts missing
