draft_year,prospect_id,player_name,position,school,as_of_date,source,draft_capital_score,age_trajectory_score,production_score,efficiency_score,target_earning_score,rushing_profile_score,receiving_role_score,athleticism_score,lve_position_fit_score,confidence_score,source_notes
2022,breece_hall_2022,Breece Hall,RB,Iowa State,2022-04-30,manual_predraft_fixture,91,88,94,88,50,50,82,91,90,82,Post NFL Draft rookie profile fixture; no NFL production used.
2023,tank_dell_2023,Tank Dell,WR,Houston,2023-04-29,manual_predraft_fixture,58,78,87,88,88,50,50,80,84,66,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jayden_reed_2023,Jayden Reed,WR,Michigan State,2023-04-29,manual_predraft_fixture,70,76,77,79,75,50,50,82,82,68,Post NFL Draft rookie profile fixture; no NFL production used.
2023,dalton_kincaid_2023,Dalton Kincaid,TE,Utah,2023-04-29,manual_predraft_fixture,87,78,81,85,82,50,86,74,68,76,Post NFL Draft rookie profile fixture; no NFL production used.
2023,michael_mayer_2023,Michael Mayer,TE,Notre Dame,2023-04-29,manual_predraft_fixture,75,76,84,78,78,50,82,66,58,73,Post NFL Draft rookie profile fixture; no NFL production used.
2023,kendre_miller_2023,Kendre Miller,RB,TCU,2023-04-29,manual_predraft_fixture,64,76,82,78,50,50,46,73,77,65,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jonathan_mingo_2023,Jonathan Mingo,WR,Ole Miss,2023-04-29,manual_predraft_fixture,78,72,70,68,64,50,50,79,80,64,Post NFL Draft rookie profile fixture; no NFL production used.
2023,roshon_johnson_2023,Roschon Johnson,RB,Texas,2023-04-29,manual_predraft_fixture,58,72,68,72,50,50,61,77,76,63,Post NFL Draft rookie profile fixture; no NFL production used.
2023,will_levis_2023,Will Levis,QB,Kentucky,2023-04-29,manual_predraft_fixture,73,67,66,65,50,64,50,82,36,67,Post NFL Draft rookie profile fixture; no NFL production used.
2024,marvin_harrison_jr_2024,Marvin Harrison Jr.,WR,Ohio State,2024-04-27,manual_predraft_fixture,97,86,96,93,93,50,50,88,95,85,Post NFL Draft rookie profile fixture; no NFL production used.
2024,malik_nabers_2024,Malik Nabers,WR,LSU,2024-04-27,manual_predraft_fixture,96,88,95,94,94,50,50,91,95,85,Post NFL Draft rookie profile fixture; no NFL production used.
2024,rome_odunze_2024,Rome Odunze,WR,Washington,2024-04-27,manual_predraft_fixture,94,84,94,90,91,50,50,86,94,84,Post NFL Draft rookie profile fixture; no NFL production used.
2024,brock_bowers_2024,Brock Bowers,TE,Georgia,2024-04-27,manual_predraft_fixture,91,88,96,94,93,50,95,88,72,83,Post NFL Draft rookie profile fixture; no NFL production used.
2024,jayden_daniels_2024,Jayden Daniels,QB,LSU,2024-04-27,manual_predraft_fixture,96,82,94,91,50,99,50,92,45,82,Post NFL Draft rookie profile fixture; no NFL production used.
2024,caleb_williams_2024,Caleb Williams,QB,USC,2024-04-27,manual_predraft_fixture,99,82,92,90,50,78,50,86,42,84,Post NFL Draft rookie profile fixture; no NFL production used.
2024,drake_maye_2024,Drake Maye,QB,North Carolina,2024-04-27,manual_predraft_fixture,95,83,88,87,50,78,50,85,40,81,Post NFL Draft rookie profile fixture; no NFL production used.
2024,brian_thomas_jr_2024,Brian Thomas Jr.,WR,LSU,2024-04-27,manual_predraft_fixture,90,80,86,89,83,50,50,92,92,80,Post NFL Draft rookie profile fixture; no NFL production used.
2024,ladd_mcconkey_2024,Ladd McConkey,WR,Georgia,2024-04-27,manual_predraft_fixture,79,80,82,86,82,50,50,87,88,76,Post NFL Draft rookie profile fixture; no NFL production used.
2024,xavier_worthy_2024,Xavier Worthy,WR,Texas,2024-04-27,manual_predraft_fixture,88,82,82,83,80,50,50,99,90,77,Post NFL Draft rookie profile fixture; no NFL production used.
2024,jonathon_brooks_2024,Jonathon Brooks,RB,Texas,2024-04-27,manual_predraft_fixture,76,78,82,81,50,50,73,76,84,70,Post NFL Draft rookie profile fixture; no NFL production used.
2024,trey_benson_2024,Trey Benson,RB,Florida State,2024-04-27,manual_predraft_fixture,68,77,78,77,50,50,57,88,81,68,Post NFL Draft rookie profile fixture; no NFL production used.
2024,keon_coleman_2024,Keon Coleman,WR,Florida State,2024-04-27,manual_predraft_fixture,82,78,76,72,74,50,50,70,84,70,Post NFL Draft rookie profile fixture; no NFL production used.
2024,ricky_pearsall_2024,Ricky Pearsall,WR,Florida,2024-04-27,manual_predraft_fixture,86,74,74,78,70,50,50,85,84,69,Post NFL Draft rookie profile fixture; no NFL production used.
2024,xavier_legette_2024,Xavier Legette,WR,South Carolina,2024-04-27,manual_predraft_fixture,85,62,78,76,74,50,50,86,83,67,Post NFL Draft rookie profile fixture; no NFL production used.
2024,bo_nix_2024,Bo Nix,QB,Oregon,2024-04-27,manual_predraft_fixture,89,65,89,85,50,65,50,72,36,76,Post NFL Draft rookie profile fixture; no NFL production used.
2024,michael_penix_jr_2024,Michael Penix Jr.,QB,Washington,2024-04-27,manual_predraft_fixture,90,58,86,84,50,39,50,70,34,74,Post NFL Draft rookie profile fixture; no NFL production used.
2024,blake_corum_2024,Blake Corum,RB,Michigan,2024-04-27,manual_predraft_fixture,63,66,86,78,50,50,50,74,79,66,Post NFL Draft rookie profile fixture; no NFL production used.
2024,jalynn_polk_2024,Ja'Lynn Polk,WR,Washington,2024-04-27,manual_predraft_fixture,80,75,78,76,75,50,50,76,82,68,Post NFL Draft rookie profile fixture; no NFL production used.
2024,troy_franklin_2024,Troy Franklin,WR,Oregon,2024-04-27,manual_predraft_fixture,52,77,85,85,82,50,50,88,82,62,Post NFL Draft rookie profile fixture; no NFL production used.
