variant_id,source_rule_family,window,reference_formula,reference_id,net_miss_reduction,misses_resolved,new_misses_created,false_positive_change,false_negative_change,severe_false_positive_change,severe_false_negative_change,spearman_delta,top12_precision_delta,top24_precision_delta,top36_precision_delta,position_level_impact,sparse_history_impact,non_sparse_collateral_damage,collateral_status,classification,pass_fail_status,pass_fail_reasons
REFINE_002_A_DEPTH_STARTER_025,RULE_002,full_history,PYF baseline,PYF_BASELINE,0,11,11,0,0,-1,-1,-0.000,0.002,0.003,0.000,QB:0; RB:2; TE:-2; WR:0,-7,-7,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_006_C_ROUND1_ROLE_050,RULE_006,full_history,PYF baseline,PYF_BASELINE,-2,19,21,1,1,-3,0,0.003,0.010,0.004,0.000,QB:0; RB:0; TE:0; WR:-2,-7,-5,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_006_D_DAY2_STARTER_025,RULE_006,full_history,PYF baseline,PYF_BASELINE,8,16,8,-4,-4,-2,-1,0.000,0.011,0.004,0.001,QB:0; RB:2; TE:6; WR:0,3,-5,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_006_E_DRAFT_LOW_PYF_ROLE_050,RULE_006,full_history,PYF baseline,PYF_BASELINE,2,2,0,-1,-1,0,0,0.000,0.002,0.000,0.001,QB:0; RB:0; TE:2; WR:0,1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_011_A_COMPOSITE_SMALL_025,RULE_011,full_history,PYF baseline,PYF_BASELINE,8,27,19,-4,-4,-2,-1,-0.000,0.010,0.002,0.001,QB:-2; RB:4; TE:6; WR:0,-5,-13,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_011_B_COMPOSITE_BALANCED_050,RULE_011,full_history,PYF baseline,PYF_BASELINE,10,49,39,-5,-5,-3,0,-0.001,0.011,0.004,-0.001,QB:-2; RB:0; TE:6; WR:6,-16,-26,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_011_C_COMPOSITE_STRICT_050,RULE_011,full_history,PYF baseline,PYF_BASELINE,-2,20,22,1,1,-1,1,-0.001,0.008,0.003,0.000,QB:2; RB:2; TE:-2; WR:-4,-9,-7,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|position_instability
REFINE_011_D_COMPOSITE_LOW_PYF_050,RULE_011,full_history,PYF baseline,PYF_BASELINE,2,4,2,-1,-1,1,0,-0.005,0.002,0.000,-0.001,QB:0; RB:0; TE:2; WR:0,0,-2,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_011_E_COMPOSITE_POSITION_025,RULE_011,full_history,PYF baseline,PYF_BASELINE,4,27,23,-2,-2,-3,1,0.000,0.010,0.005,0.001,QB:0; RB:4; TE:2; WR:-2,-8,-12,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
DIAG_001_A_ROLE_PROMO_025,RULE_001,full_history,PYF baseline,PYF_BASELINE,4,24,20,-2,-2,-3,0,0.000,0.006,0.002,0.001,QB:-2; RB:2; TE:4; WR:0,-7,-11,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
DIAG_001_B_ROLE_PROMO_STARTER_025,RULE_001,full_history,PYF baseline,PYF_BASELINE,0,9,9,0,0,-1,-1,-0.000,0.002,0.000,0.000,QB:0; RB:0; TE:-2; WR:2,-6,-6,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_003_A_SNAP_GROWTH_025,RULE_003,full_history,PYF baseline,PYF_BASELINE,0,23,23,0,0,-2,2,-0.001,0.008,0.002,0.001,QB:-2; RB:0; TE:4; WR:-2,-12,-12,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_003_B_SNAP_GROWTH_STARTER_025,RULE_003,full_history,PYF baseline,PYF_BASELINE,0,8,8,0,0,0,-1,-0.000,0.002,0.002,-0.001,QB:0; RB:2; TE:-2; WR:0,-6,-6,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_008_A_POSITION_PROFILE_025,RULE_008,full_history,PYF baseline,PYF_BASELINE,4,27,23,-2,-2,-3,1,0.000,0.010,0.005,0.001,QB:0; RB:4; TE:2; WR:-2,-8,-12,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
DIAG_008_B_WR_TE_POSITION_PROFILE_025,RULE_008,full_history,PYF baseline,PYF_BASELINE,4,19,15,-2,-2,-1,1,-0.003,0.005,0.002,0.001,QB:0; RB:0; TE:6; WR:-2,-7,-11,ACCEPTABLE_OR_CONTEXT,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|spearman_decline
REFINE_002_A_DEPTH_STARTER_025,RULE_002,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,0,12,12,0,0,4,-1,0.000,0.003,0.001,0.000,QB:0; RB:0; TE:0; WR:0,-1,-1,UNACCEPTABLE,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|severe_false_positive_spike
REFINE_002_B_PRIMARY_STARTER_050,RULE_002,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,6,57,51,-3,-3,10,-4,-0.002,-0.008,0.001,-0.004,QB:-2; RB:6; TE:0; WR:2,-10,-16,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
REFINE_002_C_LOW_PYF_STARTER_050,RULE_002,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,31,21,-5,-5,3,-3,-0.007,0.003,0.002,-0.001,QB:0; RB:0; TE:4; WR:6,0,-10,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_002_D_RB_WR_TE_STARTER_025,RULE_002,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,6,27,21,-3,-3,2,-4,-0.003,0.003,0.003,-0.003,QB:0; RB:4; TE:2; WR:0,-6,-12,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_005_A_EARLY_ROLE_015,RULE_005,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,16,25,9,-8,-8,-2,-5,0.001,0.003,0.001,-0.001,QB:2; RB:2; TE:4; WR:8,8,-8,ACCEPTABLE_OR_CONTEXT,REFINED_PROMISING_MISS_REDUCTION_RULE,PASS_ALL_THRESHOLDS,pass_all_thresholds
REFINE_005_B_EARLY_ROLE_025,RULE_005,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,12,31,19,-6,-6,-1,-2,0.001,0.006,0.003,-0.002,QB:0; RB:2; TE:6; WR:4,4,-8,ACCEPTABLE_OR_CONTEXT,REFINED_PROMISING_MISS_REDUCTION_RULE,PASS_ALL_THRESHOLDS,pass_all_thresholds
REFINE_005_C_YEAR2_YEAR3_ONLY_025,RULE_005,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,14,28,14,-7,-7,-2,-4,0.002,0.006,0.002,-0.003,QB:-2; RB:4; TE:6; WR:6,6,-8,ACCEPTABLE_OR_CONTEXT,REFINED_PROMISING_MISS_REDUCTION_RULE,PASS_ALL_THRESHOLDS,pass_all_thresholds
REFINE_005_D_EARLY_CLEAN_AVAIL_025,RULE_005,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,6,12,6,-3,-3,2,-1,0.000,0.003,-0.001,0.001,QB:0; RB:0; TE:2; WR:4,3,-3,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
REFINE_005_E_EARLY_LOW_PYF_025,RULE_005,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,0,3,3,0,0,0,0,-0.000,0.002,0.000,0.000,QB:0; RB:-2; TE:2; WR:0,0,0,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_006_A_DRAFT_ROLE_025,RULE_006,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,16,32,16,-8,-8,-2,-5,0.001,0.002,0.002,0.001,QB:2; RB:4; TE:2; WR:8,7,-9,ACCEPTABLE_OR_CONTEXT,REFINED_PROMISING_MISS_REDUCTION_RULE,PASS_ALL_THRESHOLDS,pass_all_thresholds
REFINE_006_B_DRAFT_ROLE_050,RULE_006,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,53,43,-5,-5,2,-3,0.002,0.002,0.003,-0.001,QB:-4; RB:4; TE:6; WR:4,1,-9,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|position_instability
REFINE_006_C_ROUND1_ROLE_050,RULE_006,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,2,31,29,-1,-1,0,-2,0.002,0.000,0.004,0.000,QB:-6; RB:0; TE:4; WR:4,0,-2,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|position_instability
REFINE_006_D_DAY2_STARTER_025,RULE_006,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,25,15,-5,-5,-1,-4,-0.000,0.005,0.002,-0.002,QB:2; RB:4; TE:2; WR:2,0,-10,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_006_E_DRAFT_LOW_PYF_ROLE_050,RULE_006,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,6,19,13,-3,-3,0,-2,-0.001,0.003,0.002,0.000,QB:0; RB:0; TE:4; WR:2,2,-4,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_011_A_COMPOSITE_SMALL_025,RULE_011,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,32,22,-5,-5,1,-5,-0.001,-0.002,0.003,-0.002,QB:0; RB:6; TE:2; WR:2,-4,-14,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
REFINE_011_B_COMPOSITE_BALANCED_050,RULE_011,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,65,55,-5,-5,6,-4,-0.003,-0.005,-0.001,-0.002,QB:-2; RB:10; TE:4; WR:-2,-15,-25,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_011_C_COMPOSITE_STRICT_050,RULE_011,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,6,31,25,-3,-3,6,-1,-0.000,0.008,-0.001,0.000,QB:-2; RB:-2; TE:6; WR:4,1,-5,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
REFINE_011_D_COMPOSITE_LOW_PYF_050,RULE_011,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,31,21,-5,-5,3,-3,-0.007,0.003,0.002,-0.001,QB:0; RB:0; TE:4; WR:6,0,-10,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_011_E_COMPOSITE_POSITION_025,RULE_011,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,34,24,-5,-5,0,-2,0.000,0.003,0.005,-0.003,QB:0; RB:2; TE:2; WR:6,-2,-12,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
DIAG_001_A_ROLE_PROMO_025,RULE_001,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,8,30,22,-4,-4,2,-4,-0.001,-0.002,0.004,-0.002,QB:0; RB:4; TE:2; WR:2,-2,-10,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
DIAG_001_B_ROLE_PROMO_STARTER_025,RULE_001,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,0,10,10,0,0,4,-1,-0.000,0.002,0.001,0.000,QB:0; RB:0; TE:0; WR:0,-1,-1,UNACCEPTABLE,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|severe_false_positive_spike
DIAG_003_A_SNAP_GROWTH_025,RULE_003,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,4,28,24,-2,-2,0,-1,-0.001,-0.002,0.003,-0.002,QB:0; RB:2; TE:2; WR:0,-7,-11,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
DIAG_003_B_SNAP_GROWTH_STARTER_025,RULE_003,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,2,10,8,-1,-1,3,-1,-0.000,0.005,0.000,0.000,QB:0; RB:0; TE:2; WR:0,0,-2,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
DIAG_008_A_POSITION_PROFILE_025,RULE_008,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,10,34,24,-5,-5,0,-2,0.000,0.003,0.005,-0.003,QB:0; RB:2; TE:2; WR:6,-2,-12,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
DIAG_008_B_WR_TE_POSITION_PROFILE_025,RULE_008,full_history,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_DEPTH_STABILITY_PCT100,BEST_FULL_HISTORY,2,17,15,-1,-1,1,-1,-0.003,0.005,0.002,-0.002,QB:0; RB:0; TE:2; WR:0,-5,-7,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_002_A_DEPTH_STARTER_025,RULE_002,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-8,7,15,4,4,2,1,-0.000,0.000,0.000,0.002,QB:-2; RB:0; TE:-4; WR:-2,-8,0,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|false_positive_creation_too_high|severe_false_positive_spike|position_instability
REFINE_002_B_PRIMARY_STARTER_050,RULE_002,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-14,48,62,7,7,8,6,-0.004,-0.010,-0.004,-0.001,QB:-2; RB:-4; TE:-2; WR:-6,-32,-18,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|false_positive_creation_too_high|severe_false_positive_spike|spearman_decline|position_instability
REFINE_002_C_LOW_PYF_STARTER_050,RULE_002,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,23,23,0,0,2,1,-0.009,-0.002,-0.003,-0.001,QB:0; RB:2; TE:-2; WR:0,-12,-12,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|severe_false_positive_spike|spearman_decline
REFINE_002_D_RB_WR_TE_STARTER_025,RULE_002,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,27,27,0,0,1,0,-0.004,-0.003,0.002,0.001,QB:0; RB:0; TE:-2; WR:2,-13,-13,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|severe_false_positive_spike|spearman_decline
REFINE_005_A_EARLY_ROLE_015,RULE_005,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,2,19,17,-1,-1,-3,-2,0.000,0.000,0.001,0.001,QB:0; RB:0; TE:0; WR:2,-3,-5,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_005_B_EARLY_ROLE_025,RULE_005,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-2,31,33,1,1,1,-1,0.000,-0.005,0.000,0.001,QB:0; RB:-2; TE:-2; WR:2,-11,-9,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|severe_false_positive_spike
REFINE_005_C_YEAR2_YEAR3_ONLY_025,RULE_005,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,26,26,0,0,-1,-1,0.001,-0.005,0.001,0.001,QB:0; RB:-2; TE:-2; WR:4,-6,-6,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
