season_or_year,position,player_stats_rows,matched_drafted_players,outcome_v2_label_overlap,missing_match_count,feasible_for_review_sidecar,blocker_reason,notes
2014,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,10,7,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2014,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,34,31,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2015,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,7,6,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2015,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,18,17,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2015,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,19,17,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2015,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,35,30,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2016,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,15,11,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2016,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,20,15,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2016,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,11,8,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2016,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,31,26,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2017,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,10,8,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2017,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,27,22,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2017,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,14,13,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2017,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,32,27,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2018,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,13,8,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2018,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,21,21,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2018,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,15,14,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2018,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,34,29,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2019,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,11,10,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2019,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,25,21,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2019,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,16,15,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2019,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,28,24,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2020,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,13,10,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2020,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,18,18,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2020,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,12,12,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2020,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,35,34,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2021,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,10,10,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2021,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,19,18,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2021,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,11,10,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2021,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,35,33,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2022,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,9,7,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2022,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,23,23,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2022,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,19,19,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2022,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,28,27,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2023,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,14,12,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2023,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,18,16,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2023,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,15,13,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2023,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,33,33,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2024,QB,weekly=76804; seasonal=42419 aggregate 2024-2025,11,7,Not enough information; player_stats sidecar match not computed in this review packet,partial_future_lane,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2024,RB,weekly=76804; seasonal=42419 aggregate 2024-2025,19,18,Not enough information; player_stats sidecar match not computed in this review packet,partial_future_lane,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2024,TE,weekly=76804; seasonal=42419 aggregate 2024-2025,12,11,Not enough information; player_stats sidecar match not computed in this review packet,partial_future_lane,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2024,WR,weekly=76804; seasonal=42419 aggregate 2024-2025,35,30,Not enough information; player_stats sidecar match not computed in this review packet,partial_future_lane,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
