worksheet_id,review_group,subject_type,subject,position,surface,model_says,source_report,warning_context,money_action_risk,human_prior_before_model,agreement_with_model,disagreement_reason,final_human_decision,follow_up_notes
UJ24,young_player_evidence,current_player,Marvin Harrison Jr.,WR,Player Board,young WR sanity row in middle score band,YOUNG_PLAYER_EVIDENCE_AUDIT_20260605.md,role_lifecycle_evidence_gap,May conflict with human pedigree/upside prior,,,,,
UJ25,veteran_status,current_player,Stefon Diggs,WR,Player Board,middle veteran WR row with confidence and identity warnings,VETERAN_AGE_WINDOW_AUDIT_20260605.md,team_mismatch_or_missing_model_team; identity_review_cap; partial_or_quarantined_join_cap,Team/status uncertainty could dominate value judgment,,,,,
UJ26,veteran_status,current_player,Tyreek Hill,WR,Player Board,middle veteran WR row with historical-team context,VETERAN_AGE_WINDOW_AUDIT_20260605.md,team_mismatch_or_historical_team; repeated_header_rows_removed; identity_review_cap,Team/status context needs manual review before money use,,,,,
UJ27,veteran_status,current_player,Cooper Kupp,WR,Player Board,low veteran WR row with confidence and identity warnings,VETERAN_AGE_WINDOW_AUDIT_20260605.md,team_mismatch_or_missing_model_team; first_down_missing_confidence_cap; identity_review_cap,Low name-value row needs human aging/status prior,,,,,
UJ28,rookie_top_cluster,rookie,Jeremiyah Love,RB,Draft Room,top rookie board anchor but review-only scouting prompt,ROOKIE_BOARD_TOP_CLUSTER_AUDIT_20260605.md,current_college_team_mismatch_quarantined; third_party_combine_source_limited; source_limited_evidence_cap,Rookie row is not a final draft recommendation,,,,,
UJ29,rookie_top_cluster,rookie,Makai Lemon,WR,Draft Room,top WR rookie anchor with source-limited warnings,ROOKIE_BOARD_TOP_CLUSTER_AUDIT_20260605.md,third_party_combine_source_limited; source_limited_evidence_cap,Rookie row requires human scouting prior,,,,,
UJ30,rookie_watchlist,rookie,Daniel Sobkowicz,WR,Draft Room,highest explicit watchlist_data_incomplete row,ROOKIE_LOW_EVIDENCE_WATCHLIST_AUDIT_20260605.md,missing_prospect_or_college_evidence; watchlist_data_incomplete,Manual scouting only; not a confident draft option,,,,,
UJ31,pick_neighborhood,pick,2026 1.03,,Draft Room,early first with elite current assets in internal model neighborhood,PICK_VS_PLAYER_NEIGHBORHOOD_AUDIT_20260605.md,internal_model_neighbor_only_not_one_for_one_trade_equivalent,Could be misread as one-pick market trade price,,,,,
UJ32,pick_neighborhood,pick,2026 1.04,,Draft Room,early first with Trey McBride near internal model neighborhood,PICK_VS_PLAYER_NEIGHBORHOOD_AUDIT_20260605.md,internal_model_neighbor_only_not_one_for_one_trade_equivalent,Could be misread as one-pick market trade price,,,,,
UJ33,pick_neighborhood,pick,2026 2.08,,Draft Room,near Josh Jacobs and Chase Brown by internal score,PICK_VS_PLAYER_NEIGHBORHOOD_AUDIT_20260605.md,nearby_model_value_not_trade_equivalence,High risk of misunderstanding nearby value as trade equivalence,,,,,
UJ34,external_asset_context,current_player,Trey McBride,TE,External Asset Reviews,top external asset context row by dynasty asset value,EXTERNAL_ASSET_REVIEWS_SANITY_AUDIT_20260605.md,review_only_external_asset_context_not_recommendation,External context is not an acquisition target or offer,,,,,
UJ35,decision_board_context,pick,2026 5.04,,Decision Board,aggregate row preserves blank source score and manual-only next step,DECISION_BOARD_COHERENCE_AUDIT_20260605.md,pick_baseline_missing_review; do_not_use_as_final_cut_keep_trade_or_draft_recommendation,Decision Board row must not become final action,,,,,
