player,position,nfl_team,lifecycle,dynasty_asset_value,value_basis,scored_component_weight,missing_component_weight,missing_value_components,confidence_label,missing_sections,not_applicable_sections,root_cause,action_taken,review_status
Jalen Hurts,QB,PHI,established_veteran,73.815,evidence_adjusted_missing_not_zero,62.0,14.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Patrick Mahomes,QB,KC,established_veteran,57.51,evidence_adjusted_missing_not_zero,62.0,14.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Joe Burrow,QB,CIN,established_veteran,63.952,evidence_adjusted_missing_not_zero,62.0,14.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Brock Purdy,QB,SF,established_veteran,57.944,evidence_adjusted_missing_not_zero,62.0,14.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Trey McBride,TE,ARI,established_veteran,63.682,evidence_adjusted_missing_not_zero,74.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
George Kittle,TE,SF,established_veteran,57.454,evidence_adjusted_missing_not_zero,74.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Mark Andrews,TE,BAL,established_veteran,47.096,evidence_adjusted_missing_not_zero,74.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Travis Kelce,TE,KC,established_veteran,49.119,evidence_adjusted_missing_not_zero,74.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Darrell Henderson,RB,LA,established_veteran,24.97,evidence_adjusted_missing_not_zero,82.0,10.0,projection,weak,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Hollywood Brown,WR,KC,established_veteran,18.911,evidence_adjusted_missing_not_zero,80.0,10.0,projection,weak,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Amari Cooper,WR,LV,established_veteran,31.34,evidence_adjusted_missing_not_zero,80.0,10.0,projection,weak,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
