player,pos,current_candidate_rank,final_board_rank,tuned_value,confidence,age,adp,current_pick_value,reason_for_rank,suspected_issue
Brenen Thompson,WR,18,13,35.91,Medium-low,Not enough information,225.0,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Elijah Sarratt,WR,19,14,34.09,Medium-low,Not enough information,151.2,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Emmett Johnson,RB,20,15,32.26,Medium-low,Not enough information,127.4,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Drake Maye,QB,21,40,30.48,Medium-low,23.8,9.6,Reach,1QB discount suppressed Tuned V2 candidate value despite elite-young-QB context.,QB discount too harsh for on-clock review; promoted into top decision tier with explicit 1QB warning.
Kaytron Allen,RB,22,16,30.44,Medium-low,Not enough information,187.3,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Adam Randall,RB,23,17,28.61,Medium-low,Not enough information,289.1,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Josh Cameron,WR,24,18,26.79,Medium-low,Not enough information,343.5,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Nicholas Singleton,RB,25,19,24.96,Medium-low,Not enough information,112.4,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Jaylen Warren,RB,26,54,22.99,Medium-low,27.6,89.9,Reach,Candidate rank was outside top 25 despite RB utility.,Situational value; compare against rookie RBs by roster need.
Rashee Rice,WR,27,62,22.45,Medium-low,26.2,47.2,Reach,Young WR value present but legal/injury/status uncertainty remains.,Situational value only; verify tolerance for risk.
Demond Claiborne,RB,28,21,21.31,Medium-low,Not enough information,219.0,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Lewis Bond,WR,29,22,19.49,Medium-low,Not enough information,999.0,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Brian Thomas,WR,30,63,19.48,Medium-low,Not enough information,65.7,Reach,Current frozen rank low relative to young WR profile but evidence remains caveated.,Lifted into situational value tier for human comparison.
Dak Prescott,QB,56,60,5.78,Medium-low,32.9,112.7,Reach,QB kept low by 10-team 1QB discount.,Correctly discounted; not a top decision-tier dynasty draft target here.
Keenan Allen,WR,69,64,0.0,Low,34.2,272.6,Reach,Older veteran risk and short runway.,Discount only; not a long-term anchor.
Brock Purdy,QB,67,65,0.0,Medium-low,26.5,76.2,Reach,QB kept low by 10-team 1QB discount.,Correctly discounted but ahead of older QB discount tier.
Darren Waller,TE,68,66,0.0,Low,33.8,999.0,Reach,Older TE with retirement/health uncertainty.,Hold/deep discount only.
