player_id,player,pos,nfl_team,age,position_rank,tier,final_board_rank,dynasty_rank,current_score_or_value,current_score_basis,emergency_cross_asset_rank,emergency_cross_asset_value,emergency_overall_context_rank,cross_asset_candidate_rank,cross_asset_candidate_value,candidate_value_band,confidence_band,uncertainty_reasons,candidate_vs_frozen_note,candidate_vs_dynasty_note,candidate_action_summary,adp,adp_source_status,available_pool_adp_rank,available_pool_adp_range,current_pick_value_1_03,current_pick_value_1_04,current_pick_value_1_09,current_pick_value_2_04,current_pick_value_2_08,current_pick_value,current_pick_value_reason,outcome_applicable_summary,manual_review_flag,source_note
8137,George Pickens,WR,DAL,25.3,,Priority candidate,Not enough information,10,60.0258,nwr_dynasty_score,11,59.73,11,11,59.73,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+60.0; age_curve_component=+0.5; position_scarcity_component=+1.5; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 10 and score 60.0258.,Best-available review target,30.7,YELLOW_UNDOCUMENTED_ENDPOINT,30,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8138,James Cook,RB,BUF,26.7,,Strong candidate,Not enough information,11,59.664,nwr_dynasty_score,12,57.66,12,12,57.66,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+59.7; age_curve_component=-3.0; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 11 and score 59.664.,Best-available review target,21.9,YELLOW_UNDOCUMENTED_ENDPOINT,21,Depth / later,Too early,Too early,Too early,Reach,Slight reach,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
9997,Zay Flowers,WR,BAL,25.8,17,Tier 3 - Value/Need Dependent,31,12,56.5344,pinned_veteran_candidate_value_for_dropped_legal_draftable_pool,2,57.03,13,2,57.03,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+56.5; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Zay Flowers screens higher than frozen rank because frozen score basis was mixed.,Anchored to full dynasty rank 12 and score 56.5344.,Best-available review target,67.3,YELLOW_UNDOCUMENTED_ENDPOINT,66,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8144,Chris Olave,WR,NO,26.0,20,Tier 3 - Value/Need Dependent,34,14,54.0656,pinned_veteran_candidate_value_for_dropped_legal_draftable_pool,3,54.57,14,3,54.57,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+54.1; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Chris Olave screens higher than frozen rank because frozen score basis was mixed.,Anchored to full dynasty rank 14 and score 54.0656.,Viable if roster fit/value aligns,34.8,YELLOW_UNDOCUMENTED_ENDPOINT,34,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
7569,Nico Collins,WR,HOU,27.3,,Strong candidate,Not enough information,16,53.4085,nwr_dynasty_score,15,53.91,15,15,53.91,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+53.4; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 16 and score 53.4085.,Viable if roster fit/value aligns,31.9,YELLOW_UNDOCUMENTED_ENDPOINT,31,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
7553,Kyle Pitts,TE,ATL,25.7,,Strong candidate,Not enough information,17,53.3402,nwr_dynasty_score,16,53.64,16,16,53.64,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+53.3; age_curve_component=+1.0; position_scarcity_component=+0.8; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 17 and score 53.3402.,Viable if roster fit/value aligns,75.3,YELLOW_UNDOCUMENTED_ENDPOINT,74,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8112,Drake London,WR,ATL,24.9,,Strong candidate,Not enough information,19,52.4925,nwr_dynasty_score,17,52.99,17,17,52.99,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+52.5; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 19 and score 52.4925.,Viable if roster fit/value aligns,23.2,YELLOW_UNDOCUMENTED_ENDPOINT,23,Depth / later,Too early,Too early,Too early,Too early,Reach,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
6786,CeeDee Lamb,WR,DAL,27.2,,Strong candidate,Not enough information,20,51.0992,nwr_dynasty_score,18,51.60,18,18,51.60,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+51.1; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 20 and score 51.0992.,Viable if roster fit/value aligns,22.2,YELLOW_UNDOCUMENTED_ENDPOINT,22,Depth / later,Too early,Too early,Too early,Too early,Reach,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8150,Kyren Williams,RB,LAR,25.8,,Strong candidate,Not enough information,15,53.9777,nwr_dynasty_score,19,51.18,19,19,51.18,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+54.0; age_curve_component=-3.0; position_scarcity_component=+2.5; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 15 and score 53.9777.,Viable if roster fit/value aligns,46.3,YELLOW_UNDOCUMENTED_ENDPOINT,45,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
5859,A.J. Brown,WR,PHI,29.0,,Strong candidate,Not enough information,13,54.1764,nwr_dynasty_score,20,51.18,20,20,51.18,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+54.2; age_curve_component=-3.0; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 13 and score 54.1764.,Viable if roster fit/value aligns,60.4,YELLOW_UNDOCUMENTED_ENDPOINT,59,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
6794,Justin Jefferson,WR,MIN,27.0,,Strong candidate,Not enough information,22,50.2511,nwr_dynasty_score,21,50.75,21,21,50.75,Strong candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+50.3; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 22 and score 50.2511.,Viable if roster fit/value aligns,20.8,YELLOW_UNDOCUMENTED_ENDPOINT,20,Mid/Late 2nd equivalent,Too early,Too early,Too early,Reach,Slight reach,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
,Makai Lemon,WR,PHI,Not enough information,1,Tier 1 - Priority Draft Targets,2,Not enough information,94.50,rookie_score_from_frozen_rookie_rank_and_tier,4,49.20,22,4,49.20,Viable candidate,Low,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+54.5; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+7.3,Generally aligned with frozen board review posture.,No approved full dynasty row; candidate relies on rookie/frozen crosswalk.,Review caveats before using,77.4,YELLOW_UNDOCUMENTED_ENDPOINT,76,Depth / later,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8148,Jameson Williams,WR,DET,25.2,25,Tier 3 - Value/Need Dependent,42,26,48.4869,pinned_veteran_candidate_value_for_dropped_legal_draftable_pool,5,48.99,23,5,48.99,Viable candidate,Medium-high,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+48.5; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Generally aligned with frozen board review posture.,Anchored to full dynasty rank 26 and score 48.4869.,Viable if roster fit/value aligns,70.6,YELLOW_UNDOCUMENTED_ENDPOINT,69,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8142,Alec Pierce,WR,IND,26.1,29,Tier 3 - Value/Need Dependent,47,27,47.9537,pinned_veteran_candidate_value_for_dropped_legal_draftable_pool,6,48.45,24,6,48.45,Viable candidate,Medium-high,approved_full_dynasty_score_anchor; frozen_score_basis=pinned_veteran_candidate_value_for_dropped_legal_draftable_pool; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+48.0; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Generally aligned with frozen board review posture.,Anchored to full dynasty rank 27 and score 47.9537.,Viable if roster fit/value aligns,83.1,YELLOW_UNDOCUMENTED_ENDPOINT,81,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
,Carnell Tate,WR,TEN,Not enough information,2,Tier 1 - Priority Draft Targets,3,Not enough information,93.00,rookie_score_from_frozen_rookie_rank_and_tier,7,48.40,25,7,48.40,Viable candidate,Low,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+53.7; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+7.3,Generally aligned with frozen board review posture.,No approved full dynasty row; candidate relies on rookie/frozen crosswalk.,Review caveats before using,44.8,YELLOW_UNDOCUMENTED_ENDPOINT,43,Depth / later,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
9224,Chase Brown,RB,CIN,26.3,,Viable candidate,Not enough information,24,49.1893,nwr_dynasty_score,26,47.19,26,26,47.19,Viable candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+49.2; age_curve_component=-3.0; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 24 and score 49.1893.,Viable if roster fit/value aligns,27.5,YELLOW_UNDOCUMENTED_ENDPOINT,27,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
4034,Christian McCaffrey,RB,SF,30.0,,Viable candidate,Not enough information,18,53.0131,nwr_dynasty_score,27,47.01,27,27,47.01,Viable candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+53.0; age_curve_component=-7.0; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 18 and score 53.0131.,Viable if roster fit/value aligns,29.4,YELLOW_UNDOCUMENTED_ENDPOINT,29,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
,KC Concepcion,WR,CLE,Not enough information,3,Tier 1 - Priority Draft Targets,4,Not enough information,91.50,rookie_score_from_frozen_rookie_rank_and_tier,8,46.70,28,8,46.70,Viable candidate,Low,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+52.0; age_curve_component=-1.0; position_scarcity_component=+1.5; role_evidence_component=+1.5; uncertainty_penalty=+7.3,Generally aligned with frozen board review posture.,No approved full dynasty row; candidate relies on rookie/frozen crosswalk.,Review caveats before using,82.3,YELLOW_UNDOCUMENTED_ENDPOINT,80,Depth / later,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
,Jadarian Price,RB,SEA,Not enough information,2,Tier 1 - Priority Draft Targets,5,Not enough information,90.00,rookie_score_from_frozen_rookie_rank_and_tier,9,45.70,29,9,45.70,Viable candidate,Low,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+51.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+0.5; uncertainty_penalty=+7.3,Generally aligned with frozen board review posture.,No approved full dynasty row; candidate relies on rookie/frozen crosswalk.,Review caveats before using,68.4,YELLOW_UNDOCUMENTED_ENDPOINT,67,Depth / later,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,Not enough information,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
7525,DeVonta Smith,WR,PHI,27.6,,Viable candidate,Not enough information,25,48.6246,nwr_dynasty_score,30,45.62,30,30,45.62,Viable candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+48.6; age_curve_component=-3.0; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 25 and score 48.6246.,Viable if roster fit/value aligns,73.5,YELLOW_UNDOCUMENTED_ENDPOINT,72,Depth / later,Too early,Too early,Too early,Too early,Too early,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
