scoring_component,nflverse_field_candidate,source_dataset,field_present,field_quarantined,field_allowed_for_review,needed_for_full_scoring,needed_for_first_down_parity,missingness_rule,zero_value_required,zero_value_available,safe_for_full_sidecar_now,label_truth_allowed,model_use_allowed,training_allowed,source_truth_allowed,blocker_reason,notes
rushing_attempts,carries,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR carry scoring weight is currently 0.0 but field is present.
rushing_yards,rushing_yards,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rush_yd_pt.
rushing_touchdowns,rushing_tds,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rush_td_pt.
rushing_first_downs,rushing_first_downs,player_stats_weekly|player_stats_seasonal,true,false,true,true,true,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rush_1d_pt.
rushing_two_point_conversions,rushing_2pt_conversions,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rush_2pt_pt.
receptions,receptions,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR reception scoring weight is currently 0.0 but field is present.
receiving_yards,receiving_yards,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rec_yd_pt.
receiving_touchdowns,receiving_tds,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rec_td_pt.
receiving_first_downs,receiving_first_downs,player_stats_weekly|player_stats_seasonal,true,false,true,true,true,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rec_1d_pt.
receiving_two_point_conversions,receiving_2pt_conversions,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses rec_2pt_pt.
fumbles_lost,rushing_fumbles_lost|receiving_fumbles_lost|sack_fumbles_lost,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NEEDS_BUILDER_SUM_RULE,No single fumbles_lost field is present; future builder must sum the three review-allowed lost-fumble columns once per observed player-week.
return_yards,kickoff_return_yards|punt_return_yards,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NEEDS_BUILDER_SUM_RULE,Future builder must sum kickoff and punt return yards once per observed player-week.
return_touchdowns,special_teams_tds,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,ambiguous,false,false,false,false,false,AMBIGUOUS_RETURN_SPECIAL_TD_MAPPING,Source has special_teams_tds but not separate return_tds; avoid double counting with special_td until mapping is approved.
special_touchdowns,special_teams_tds,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,ambiguous,false,false,false,false,false,AMBIGUOUS_RETURN_SPECIAL_TD_MAPPING,Same source candidate as return_touchdowns; formula alignment must decide whether this feeds return_td or special_td.
fumble_recovery_touchdowns,fumble_recovery_tds,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses fumble_recovery_td_pt.
misc_yards,misc_yards,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR misc yard scoring weight is currently 0.0 but field is present.
games_played_indicator,games,player_stats_seasonal,true,false,true,true,false,Missing games remains Not enough information,false,seasonal_only,false,false,false,false,false,NOT_WEEKLY_COMPONENT_SOURCE,Seasonal games can help coverage review but cannot create player-week zero rows.
fantasy_points,fantasy_points|fantasy_points_ppr,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,Quarantined field remains blocked,false,not_allowed,false,false,false,false,false,QUARANTINED_FIELD,Do not use imported fantasy totals to prove scoring parity.
efficiency_projection_like_fields,air_yards_share|target_share|wopr|pacr|racr|passing_epa|rushing_epa|receiving_epa|passing_cpoe,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,Quarantined field remains blocked,false,not_allowed,false,false,false,false,false,QUARANTINED_FIELD,Not needed for scoring parity and not approved for review sidecar rows.
