field_name,normalized_field_name,source_family,source_artifact_or_runner,source_dataset,grain,seasons_available,weeks_available,row_count,player_count,position_coverage,schema_status,factual_or_derived,source_policy_status,identity_dependency,missingness_risk,leakage_risk,licensing_risk,overlap_sources,accuracy_confidence,coverage_confidence,recommended_bucket,blocker_reason,review_only,model_use_allowed,training_allowed,source_truth_allowed
special_teams_tds,special_teams_tds,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_or_derived,safe_review,not_required,HIGH,MEDIUM,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,MEDIUM,HIGH,NEEDS_ZERO_OR_MISSINGNESS_GATE,Needs zero/missingness gate; missing values cannot be inferred as zero/healthy/clean.,true,false,false,false
def_tackles_solo,def_tackles_solo,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
def_tackles_with_assist,def_tackles_with_assist,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
def_tackle_assists,def_tackle_assists,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
def_tackles_for_loss,def_tackles_for_loss,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
def_qb_hits,def_qb_hits,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
def_safeties,def_safeties,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fumble_recovery_own,fumble_recovery_own,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fumble_recovery_opp,fumble_recovery_opp,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
penalties,penalties,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
punt_returns,punt_returns,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
punt_return_yards,punt_return_yards,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_or_derived,safe_review,not_required,HIGH,MEDIUM,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,MEDIUM,HIGH,NEEDS_ZERO_OR_MISSINGNESS_GATE,Needs zero/missingness gate; missing values cannot be inferred as zero/healthy/clean.,true,false,false,false
kickoff_returns,kickoff_returns,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
kickoff_return_yards,kickoff_return_yards,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,factual_or_derived,safe_review,not_required,HIGH,MEDIUM,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,MEDIUM,HIGH,NEEDS_ZERO_OR_MISSINGNESS_GATE,Needs zero/missingness gate; missing values cannot be inferred as zero/healthy/clean.,true,false,false,false
fg_made,fg_made,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_att,fg_att,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_missed,fg_missed,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_blocked,fg_blocked,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_long,fg_long,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,HIGH,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,LOW,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_pct,fg_pct,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,HIGH,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,LOW,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_made_0_19,fg_made_0_19,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_made_20_29,fg_made_20_29,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_made_30_39,fg_made_30_39,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_made_40_49,fg_made_40_49,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_made_50_59,fg_made_50_59,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_made_60_,fg_made_60,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_missed_0_19,fg_missed_0_19,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_missed_20_29,fg_missed_20_29,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_missed_30_39,fg_missed_30_39,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_missed_40_49,fg_missed_40_49,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
fg_missed_50_59,fg_missed_50_59,NFLVerse,approved_local_snapshot:player_context_display_final_20260630,player_stats_weekly,player-season-week,2024|2025,1|2|3|4|5|6|7|8|9|10|11|12|...(+10),76804,2486,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|...(+13),PRESENT_STABLE_SCHEMA,unknown_or_context,safe_review,not_required,MEDIUM,LOW,LOW,NFLVerse:player_stats_seasonal|NFLVerse:player_stats_weekly|NFLVerse:team_stats,NOT_ENOUGH_INFORMATION,HIGH,NEEDS_ASOF_OR_LEAKAGE_GATE,Semantics not classified by inventory; requires source review.,true,false,false,false
