normalized_field_name,source_count,source_families,source_datasets,multi_source_overlap,best_accuracy_confidence,recommended_bucket_majority,source_policy_statuses,notes
aborted_play,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
apy_cap_pct,1,NFLVerse,contracts,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only_context,Multi-source overlap supports consistency review only; no model approval.
as_of_safe_now,1,NWR_ROOKIE_PREFLIGHT_FEATURE_COVERAGE,rookie_pre_draft_feature_coverage_matrix,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
assist_tackle,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_1_player_id,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_1_player_name,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_1_team,1,NFLVerse,play_by_play,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_2_player_id,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_2_player_name,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_2_team,1,NFLVerse,play_by_play,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_3_player_id,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_3_player_name,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_3_team,1,NFLVerse,play_by_play,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_4_player_id,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_4_player_name,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
assist_tackle_4_team,1,NFLVerse,play_by_play,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
attribution_required,1,NWR_NFL_USAGE_ADV_CONTEXT_FIELD_INVENTORY,nfl_usage_advanced_context_field_inventory_v0,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
availability_status,1,NWR_ROOKIE_SOURCE_EXPANSION_FEATURE_POLICY,rookie_feature_policy_refresh_matrix_v1,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,review_only,Multi-source overlap supports consistency review only; no model approval.
avg_air_distance,1,NFLVerse,nextgen_stats,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_air_yards_differential,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_air_yards_to_sticks,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_completed_air_yards,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_cushion,1,NFLVerse,nextgen_stats,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_expected_yac,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_intended_air_yards,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_rush_yards,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_separation,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_time_to_los,1,NFLVerse,nextgen_stats,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_time_to_throw,1,NFLVerse,nextgen_stats,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_yac,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
avg_yac_above_expectation,1,NFLVerse,nextgen_stats,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
away_coach,2,NFLVerse,play_by_play|schedules,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only|review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
away_moneyline,1,NFLVerse,schedules,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only,Multi-source overlap supports consistency review only; no model approval.
away_qb_id,1,NFLVerse,schedules,false,HIGH,HIGH_CONFIDENCE_IDENTITY_PLUMBING,display_only,Multi-source overlap supports consistency review only; no model approval.
away_qb_name,1,NFLVerse,schedules,false,HIGH,HIGH_CONFIDENCE_IDENTITY_PLUMBING,display_only,Multi-source overlap supports consistency review only; no model approval.
away_rest,1,NFLVerse,schedules,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only,Multi-source overlap supports consistency review only; no model approval.
away_score,2,NFLVerse,play_by_play|schedules,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only|review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
away_spread_odds,1,NFLVerse,schedules,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only,Multi-source overlap supports consistency review only; no model approval.
away_team,2,NFLVerse,play_by_play|schedules,true,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,display_only|review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
away_timeouts_remaining,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
away_wp,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
away_wp_post,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
bench,1,NFLVerse,combine,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
birth_date,3,NFLVerse,players|rosters|weekly_rosters,true,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,identity_only,Multi-source overlap supports consistency review only; no model approval.
birthdate,1,NFLVerse,ff_playerids,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,identity_only,Multi-source overlap supports consistency review only; no model approval.
blocked_player_id,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
blocked_player_name,1,NFLVerse,play_by_play,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
blocker_reason,5,NWR_COMPACT_FIRST_DOWN_SIDECAR|NWR_OBSERVED_FULL_SCORING_SIDECAR|NWR_ROOKIE_PREFLIGHT_FEATURE_COVERAGE|NWR_ROOKIE_SOURCE_EXPANSION_FEATURE_POLICY|NWR_SCHEDULE_CONTEXT_FIELD_POLICY,compact_player_stats_sidecar_candidate|observed_row_full_scoring_sidecar_artifact|rookie_feature_policy_refresh_matrix_v1|rookie_pre_draft_feature_coverage_matrix|schedule_context_field_policy,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only|review_only,Multi-source overlap supports consistency review only; no model approval.
broad_jump,1,NFLVerse,combine,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
bye_context,1,NWR_PLAYER_CONTEXT,nflverse_player_context_display_artifact,false,HIGH,DISPLAY_ONLY_CONTEXT,display_only,Multi-source overlap supports consistency review only; no model approval.
bye_week,1,EXPECTED_FIELD,not_found,false,HIGH,DISPLAY_ONLY_CONTEXT,not_available,Multi-source overlap supports consistency review only; no model approval.
bye_week_flag,1,NWR_ZERO_ELIGIBILITY,player_week_zero_eligibility_matrix,false,HIGH,DISPLAY_ONLY_CONTEXT,review_only,Multi-source overlap supports consistency review only; no model approval.
car_av,1,NFLVerse,draft_picks,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
catch_percentage,1,NFLVerse,nextgen_stats,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_status,Multi-source overlap supports consistency review only; no model approval.
category,1,NFLVerse,draft_picks,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
caveat,1,NWR_INJURY_AVAILABILITY_FIELD_MAP,nflverse_availability_field_map,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only,Multi-source overlap supports consistency review only; no model approval.
cbs_id,1,NFLVerse,ff_playerids,false,HIGH,HIGH_CONFIDENCE_IDENTITY_PLUMBING,identity_only,Multi-source overlap supports consistency review only; no model approval.
cfb_id,1,NFLVerse,combine,false,MEDIUM,NEEDS_IDENTITY_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
cfb_player_id,1,NFLVerse,draft_picks,false,MEDIUM,NEEDS_IDENTITY_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
cfbref_id,1,NFLVerse,ff_playerids,false,HIGH,HIGH_CONFIDENCE_IDENTITY_PLUMBING,identity_only,Multi-source overlap supports consistency review only; no model approval.
club_code,1,NFLVerse,depth_charts,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
college,5,NFLVerse,contracts|draft_picks|ff_playerids|rosters|weekly_rosters,true,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,display_only_context|identity_only|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
college_conference,1,NFLVerse,players,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,identity_only,Multi-source overlap supports consistency review only; no model approval.
college_name,1,NFLVerse,players,false,HIGH,HIGH_CONFIDENCE_IDENTITY_PLUMBING,identity_only,Multi-source overlap supports consistency review only; no model approval.
cols,1,NFLVerse,contracts,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only_context,Multi-source overlap supports consistency review only; no model approval.
combine_height,1,EXPECTED_FIELD,not_found,false,MEDIUM,DISPLAY_ONLY_CONTEXT,not_available,Multi-source overlap supports consistency review only; no model approval.
combine_weight,1,EXPECTED_FIELD,not_found,false,MEDIUM,DISPLAY_ONLY_CONTEXT,not_available,Multi-source overlap supports consistency review only; no model approval.
common_first_name,1,NFLVerse,players,false,HIGH,HIGH_CONFIDENCE_IDENTITY_PLUMBING,identity_only,Multi-source overlap supports consistency review only; no model approval.
comp_air_epa,1,NFLVerse,play_by_play,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
comp_air_wpa,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
comp_yac_epa,1,NFLVerse,play_by_play,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
comp_yac_wpa,1,NFLVerse,play_by_play,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
complete_pass,2,NFLVerse,ff_opportunity|play_by_play,true,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_heavy_raw|review_only_status,Multi-source overlap supports consistency review only; no model approval.
completion_percentage,1,NFLVerse,nextgen_stats,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_status,Multi-source overlap supports consistency review only; no model approval.
completion_percentage_above_expectation,1,NFLVerse,nextgen_stats,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_status,Multi-source overlap supports consistency review only; no model approval.
completions,4,NFLVerse,nextgen_stats|player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,review_only_status|safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
component_family,1,NWR_OBSERVED_FULL_SCORING_SIDECAR,observed_row_full_scoring_sidecar_artifact,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
component_mapping_status,1,NWR_OBSERVED_FULL_SCORING_SIDECAR,observed_row_full_scoring_sidecar_artifact,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,review_only,Multi-source overlap supports consistency review only; no model approval.
component_name,1,NWR_OBSERVED_FULL_SCORING_SIDECAR,observed_row_full_scoring_sidecar_artifact,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
component_unit,1,NWR_OBSERVED_FULL_SCORING_SIDECAR,observed_row_full_scoring_sidecar_artifact,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
component_value,1,NWR_OBSERVED_FULL_SCORING_SIDECAR,observed_row_full_scoring_sidecar_artifact,false,BLOCKED,BLOCKED_MARKET_OR_PROJECTION,review_only,Multi-source overlap supports consistency review only; no model approval.
conditional,1,NFLVerse,trades,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only_context,Multi-source overlap supports consistency review only; no model approval.
cone,1,NFLVerse,combine,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
contract_context,1,NWR_PLAYER_CONTEXT,nflverse_player_context_display_artifact,false,HIGH,DISPLAY_ONLY_CONTEXT,display_only,Multi-source overlap supports consistency review only; no model approval.
coverage_rows,1,NWR_ROOKIE_PREFLIGHT_FEATURE_COVERAGE,rookie_pre_draft_feature_coverage_matrix,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only,Multi-source overlap supports consistency review only; no model approval.
coverage_status,1,NWR_AVAILABILITY_DENOMINATOR,availability_denominator_display_artifact,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,display_only,Multi-source overlap supports consistency review only; no model approval.
cp,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
cpoe,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
data_coverage_status,1,NWR_PLAYER_CONTEXT,nflverse_player_context_display_artifact,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,display_only,Multi-source overlap supports consistency review only; no model approval.
data_grain,1,NWR_NFL_USAGE_PROMOTION_CANDIDATES,nfl_usage_field_candidate_classification_v0,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
date_modified,1,NFLVerse,injuries,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,transparency_only,Multi-source overlap supports consistency review only; no model approval.
date_of_birth,1,NFLVerse,contracts,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only_context,Multi-source overlap supports consistency review only; no model approval.
date_pulled,1,NFLVerse,ftn_charting,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
db_season,1,NFLVerse,ff_playerids,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,identity_only,Multi-source overlap supports consistency review only; no model approval.
def_fumbles,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_fumbles_forced,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_interception_yards,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_interceptions,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_ints,1,NFLVerse,draft_picks,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_pass_defended,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_qb_hits,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_sack_yards,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_sacks,4,NFLVerse,draft_picks|player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_safeties,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_solo_tackles,1,NFLVerse,draft_picks,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_tackle_assists,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_tackles_for_loss,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_tackles_for_loss_yards,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_tackles_solo,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_tackles_with_assist,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_tds,3,NFLVerse,player_stats_seasonal|player_stats_weekly|team_stats,true,HIGH,HIGH_CONFIDENCE_FACTUAL_STAT,safe_review|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
def_times_blitzed,1,NFLVerse,pfr_advstats,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
def_times_hitqb,1,NFLVerse,pfr_advstats,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
def_times_hurried,1,NFLVerse,pfr_advstats,false,MEDIUM,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
def_wp,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
default_recommendation,1,NWR_NFL_USAGE_PROMOTION_CANDIDATES,nfl_usage_field_candidate_classification_v0,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
defenders_in_box,1,NFLVerse,participation,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
defense_coverage_type,1,NFLVerse,participation,false,MEDIUM,DISPLAY_ONLY_CONTEXT,review_only_status,Multi-source overlap supports consistency review only; no model approval.
defense_man_zone_type,1,NFLVerse,participation,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
defense_names,1,NFLVerse,participation,false,MEDIUM,NEEDS_IDENTITY_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
defense_numbers,1,NFLVerse,participation,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
defense_pct,1,NFLVerse,snap_counts,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review,Multi-source overlap supports consistency review only; no model approval.
defense_personnel,1,NFLVerse,participation,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
defense_players,1,NFLVerse,participation,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
