player_name,position,team,candidate_id,recommended_decision,confidence,blocker_reason,safe_display_action,requires_human_review,review_only,model_use_allowed,training_allowed,source_truth_allowed
Brenen Thompson,WR,LAC,THO495568,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Elijah Sarratt,WR,BAL,SAR527100,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Emmett Johnson,RB,KC,JOH224817,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Kaytron Allen,RB,WAS,ALL532376,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Adam Randall,RB,BAL,RAN022436,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Josh Cameron,WR,JAX,CAM108646,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Nicholas Singleton,RB,TEN,SIN454221,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Barion Brown,WR,NO,BRO268113,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Demond Claiborne,RB,MIN,CLA041524,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Lewis Bond,WR,HOU,BON235618,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
J'Mari Taylor,RB,JAX,TAY388181,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Eric McAlister,WR,FA,Not enough information,RECOMMEND_HUMAN_REVIEW,medium,Team/timeline/source evidence is ambiguous or incomplete.,needs_human_review,true,true,false,false,false
Kentrel Bullock,RB,CIN,BUL521409,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Kejon Owens,RB,MIN,OWE539873,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Sieh Bangura,RB,needs_data,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Chris Brazzell,WR,CAR,00-0001719,RECOMMEND_HUMAN_REVIEW,medium,Team/timeline/source evidence is ambiguous or incomplete.,needs_human_review,true,true,false,false,false
Robert Henry Jr.,RB,WAS,HEN713719,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Seth McGowan,RB,IND,MCG547540,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Jacob De Jesus,WR,needs_data,DEJ320906,RECOMMEND_HUMAN_REVIEW,medium,Team/timeline/source evidence is ambiguous or incomplete.,needs_human_review,true,true,false,false,false
Omar Cooper,WR,NYJ,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Dominic Richardson,RB,DAL,RIC410819,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Devin Voisin,WR,needs_data,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Hank Beatty,WR,TEN,BEA642403,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
O'Mega Blake,WR,needs_data,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Emmanuel Henderson,WR,SEA,HEN199637,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Roman Hemby,RB,LV,HEM079286,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Chase Roberts,WR,LV,ROB111721,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Barika Kpeenu,RB,needs_data,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Jordan Hudson,WR,DAL,HUD438538,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Kevin Coleman,WR,MIA,COL362413,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Donaven Mcculley,WR,MIA,MCC733954,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Caullin Lacy,WR,NYJ,LAC692799,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Deion Burks,WR,IND,BUR271406,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Trebor Pena,WR,JAC,PEN095836,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Braylon James,WR,needs_data,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Jordyn Tyson,WR,NO,TYS405541,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Eli Stowers,TE,PHI,STO806346,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Kaelon Black,RB,SF,BLA097235,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Sam Roush,TE,CHI,ROU550040,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Jamal Haynes,RB,CIN,HAY608012,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Jamarion Miller,RB,needs_data,Not enough information,RECOMMEND_KEEP_BLOCKED,low,No exact approved local identity candidate found.,keep_blocked,true,true,false,false,false
Chip Trayanum,RB,needs_data,TRA547801,RECOMMEND_HUMAN_REVIEW,medium,Team/timeline/source evidence is ambiguous or incomplete.,needs_human_review,true,true,false,false,false
