field_name,field_group,position_scope,description,allowed_statuses,private_value_allowed_now,app_display_allowed_now,source_required,manual_review_required,notes
final_season_yprr,WR_charting,WR,Final-season yards per route run,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Secondary charting remains soft unless gate changes.
targets_per_route_run,WR_charting,WR,Targets per route run,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No missing-field inference.
manufactured_touch_rate,WR_charting,WR,Manufactured-touch usage rate,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_note_manual_only,yes,Official touch counts may support use_now only if rate is source-safe.
screen_touch_rate,WR_charting,WR,Screen-touch usage rate,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_note_manual_only,yes,No inference from prose.
first_downs_per_target,WR_charting,WR,First downs per target,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Key unresolved WR field.
contested_target_rate,WR_charting,WR,Contested targets as share of targets,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,May remain manual if denominator missing.
contested_catch_rate,WR_charting,WR,Contested catches divided by contested targets,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No private promotion from secondary alone.
drop_rate,WR_charting,WR,Drop rate,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Secondary remains soft unless approved.
YAC_per_reception,WR_charting,WR,Yards after catch per reception,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Manual review for secondary/prose sources.
red_zone_target_share,WR_charting,WR,Red-zone target share,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No inference.
yards_after_contact_per_attempt,RB_charting,RB,Yards after contact per carry,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Secondary charting is soft/manual.
missed_tackles_forced_rate,RB_charting,RB,Missed tackles forced per carry or touch,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Requires denominator provenance.
explosive_run_rate,RB_charting,RB,Explosive runs as share of carries,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag|official_note,yes,Long-run notes alone are manual.
short_yardage_success_rate,RB_charting,RB,Short-yardage success rate,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No prose-only hard use.
routes_per_game,RB_charting,RB,RB routes per game,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Remaining gap in v0.3.
receiving_first_down_rate,RB_charting,RB,Receiving first downs per receiving opportunity,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No missing-field inference.
rushing_first_down_rate,RB_charting,RB,Rushing first downs per carry,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Remaining gap in v0.3.
goal_line_touch_share,RB_charting,RB,Goal-line touches as share of team or player opportunities,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No soft-only promotion.
pass_protection_grade_or_notes,RB_charting,RB,Pass-protection grade or qualitative note,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,secondary_structured_soft_flag|secondary_note_manual_only|manual_scouting_only,yes,No prose-to-grade conversion.
fumbles_per_touch,RB_charting,RB,Fumbles divided by touches,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|CFBD_structured,yes,Can be factual if touches and fumbles are source-safe.
special_teams_or_return_value,RB_charting,RB,Special-teams or return usage context,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|official_note|secondary_note_manual_only,yes,Official return rows may be use_now context.
injury_history_score,injury,ALL,Injury history context or review label,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only|manual_scouting_only,yes,Not a numeric score unless future gate defines one.
games_missed_if_available,injury,ALL,Known games missed from source-safe injury context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only,yes,Manual review for premium picks.
surgery_known,injury,ALL,Surgery known from source-safe injury context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only,yes,Manual-only unless future policy changes.
recurrence_known,injury,ALL,Known recurrence from source-safe injury context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only,yes,Do not infer recurrence.
return_status,injury,ALL,Return-to-play or return-status context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only,yes,Manual-only for current v0.3.
single_event_soft_flag_or_recurring_chronic_hard_concern,injury,ALL,Classification of injury concern,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only,yes,Requires future policy before hard use.
receiving_vs_blocking_usage,TE_exception,TE,TE usage split review,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|official_note|secondary_note_manual_only,yes,TE exceptions remain discounted.
target_command_evidence,TE_exception,TE,TE target-command evidence,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|CFBD_structured|secondary_structured_soft_flag,yes,Needed before any exception discussion.
designed_rush_share,QB_exception,QB,Designed rush share for QB exception review,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|CFBD_structured|secondary_structured_soft_flag,yes,QB exception only; not a ranking.
scramble_rate,QB_exception,QB,Scramble rate for QB exception review,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,No missing-field inference.
pressure_to_sack_rate,QB_exception,QB,Pressure-to-sack rate for QB exception review,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Secondary remains soft/manual.
job_security_score,QB_exception,QB,QB job-security context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|secondary_note_manual_only|wire_note_manual_only,yes,No numeric score in v0.3.
projected_starter_timeline,QB_exception,QB,Starter timeline context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|secondary_note_manual_only|wire_note_manual_only,yes,No projection source as private value.
remaining_true_gaps,remaining_gaps,ALL,Pipe-delimited unresolved source-safe fields,unavailable|manual_review_only|conflict_review,conditional,no,review artifact,yes,Must remain visible.
gap_reason,remaining_gaps,ALL,Reason a field remains unresolved,unavailable|manual_review_only|conflict_review,conditional,no,review artifact,yes,No inference.
source_name,provenance,ALL,Source display name,use_now|use_as_soft_flag|manual_review_only|excluded|conflict_review,conditional,no,source artifact,yes,May include caveats if forbidden context appears.
source_url,provenance,ALL,Source URL,use_now|use_as_soft_flag|manual_review_only|excluded|conflict_review,conditional,no,source artifact,yes,URL context terms do not authorize private value.
date_accessed,provenance,ALL,Source access date,use_now|use_as_soft_flag|manual_review_only|excluded|conflict_review,conditional,no,source artifact,no,Provenance only.
identity_match_status,provenance,ALL,Identity match quality,use_now|manual_review_only|conflict_review,conditional,no,source artifact,yes,Conflict blocks promotion.
ADP,excluded_market_fields,ALL,Average draft position,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
public_rankings,excluded_market_fields,ALL,Public ranking or rank context,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
consensus,excluded_market_fields,ALL,Consensus ranking or opinion,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
projections,excluded_market_fields,ALL,Fantasy or stat projections,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
fantasy_forecasts,excluded_market_fields,ALL,Fantasy forecast material,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
trade_calculators,excluded_market_fields,ALL,Trade calculator values,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
market_values,excluded_market_fields,ALL,Market value signal,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
draft_kit_ranks,excluded_market_fields,ALL,Draft-kit rank or tier,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
league_rank,excluded_market_fields,ALL,League rank signal,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
prior_league_draft_history,excluded_market_fields,ALL,Prior league draft history,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
RotoWire_rankings_projections,excluded_market_fields,ALL,RotoWire ranking projection outlook or value,excluded,no,no,excluded,yes,Only RotoWire factual rows may be considered.
legacy_private_score,excluded_market_fields,ALL,Legacy active-pack private_score,excluded,no,no,excluded,yes,Prohibited as private-value evidence.
