player_id,player,pos,nfl_team,age,final_board_rank,current_candidate_rank,tuned_v2_cross_asset_rank,tuned_v2_cross_asset_value,rank_delta_vs_frozen,rank_delta_vs_current_candidate,dynasty_rank_if_available,position_rank,adp,available_pool_adp_rank,available_pool_adp_range,current_pick_value_1_03,current_pick_value_1_04,current_pick_value_1_09,current_pick_value_2_04,current_pick_value_2_08,outcome_applicable_summary,horizon_2026_band,horizon_2027_band,horizon_next5y_band,confidence_band,uncertainty_reasons,reason_to_draft,reason_to_pass,human_review_priority,source_note
,Chris Bell,WR,MIA,Not enough information,8,8,11,46.09,-3,-3,,6,120.4,119,Depth / later,Slight reach,Slight reach,Fair,Value,Steal,Not enough information,Viable,Viable,Strong,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Zachariah Branch,WR,ATL,Not enough information,9,9,12,44.26,-3,-3,,7,154.7,152,Depth / later,Slight reach,Slight reach,Fair,Value,Steal,Not enough information,Viable,Viable,Viable,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
8142.0,Alec Pierce,WR,IND,26.1,47,16,13,42.38,34,3,27.0,29,83.1,81,Depth / later,Reach,Slight reach,Fair,Value,Steal,Not enough information,Viable,Viable,Viable,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Jonah Coleman,RB,DEN,Not enough information,11,12,14,40.61,-3,-2,,3,111.9,110,Depth / later,Reach,Reach,Slight reach,Value,Value,Not enough information,Long shot,Viable,Viable,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Skyler Bell,WR,BUF,Not enough information,12,15,15,38.79,-3,0,,9,212.0,199,Depth / later,Reach,Reach,Slight reach,Fair,Value,Not enough information,Long shot,Viable,Viable,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Antonio Williams,WR,WAS,Not enough information,10,14,16,37.04,-6,-2,,8,186.3,180,Depth / later,Reach,Reach,Slight reach,Fair,Value,Not enough information,Long shot,Long shot,Long shot,Low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; needs_data_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Brenen Thompson,WR,LAC,Not enough information,13,17,17,35.91,-4,0,,10,225.0,209,Depth / later,Reach,Reach,Slight reach,Fair,Value,Not enough information,Long shot,Long shot,Viable,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Elijah Sarratt,WR,BAL,Not enough information,14,18,18,34.09,-4,0,,11,151.2,149,Depth / later,Reach,Reach,Slight reach,Fair,Value,Not enough information,Long shot,Long shot,Viable,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Emmett Johnson,RB,KC,Not enough information,15,19,19,32.26,-4,0,,4,127.4,127,Depth / later,Reach,Reach,Reach,Slight reach,Fair,Not enough information,Long shot,Long shot,Long shot,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
11564.0,Drake Maye,QB,NE,23.8,40,20,20,30.48,20,0,23.0,1,9.6,9,Late 1st equivalent,Reach,Reach,Reach,Slight reach,Fair,Not enough information,Long shot,Long shot,Long shot,Medium-low,full_dynasty_anchor_strengthened; 1qb_qb_discount; manual_review_penalty; outcome_missing_confidence_only; young_qb_review_visible_after_1qb_discount,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Kaytron Allen,RB,WAS,Not enough information,16,21,21,30.44,-5,0,,5,187.3,182,Depth / later,Reach,Reach,Reach,Slight reach,Fair,Not enough information,Long shot,Long shot,Long shot,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Adam Randall,RB,BAL,Not enough information,17,22,22,28.61,-5,0,,6,289.1,237,Depth / later,Reach,Reach,Reach,Slight reach,Fair,Not enough information,Not enough information,Long shot,Long shot,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Josh Cameron,WR,JAX,Not enough information,18,23,23,26.79,-5,0,,12,343.5,241,Depth / later,Reach,Reach,Reach,Slight reach,Slight reach,Not enough information,Not enough information,Long shot,Long shot,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Nicholas Singleton,RB,TEN,Not enough information,19,25,24,24.96,-5,1,,7,112.4,111,Depth / later,Reach,Reach,Reach,Reach,Slight reach,Not enough information,Not enough information,Long shot,Long shot,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
8228.0,Jaylen Warren,RB,PIT,27.6,54,24,25,22.99,29,-1,43.0,18,89.9,88,Depth / later,Reach,Reach,Reach,Reach,Slight reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
10229.0,Rashee Rice,WR,KC,26.2,62,26,26,22.45,36,0,79.0,36,47.2,46,Depth / later,Reach,Reach,Reach,Reach,Slight reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Demond Claiborne,RB,MIN,Not enough information,21,27,27,21.31,-6,0,,8,219.0,204,Depth / later,Reach,Reach,Reach,Reach,Slight reach,Not enough information,Not enough information,Not enough information,Long shot,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Lewis Bond,WR,HOU,Not enough information,22,30,28,19.49,-6,2,,14,999.0,249,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
11631.0,Brian Thomas,WR,JAX,Not enough information,63,28,29,19.48,34,-1,82.0,37,65.7,64,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Barion Brown,WR,NO,Not enough information,20,29,30,17.74,-10,-1,,13,999.0,259,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; needs_data_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,J'Mari Taylor,RB,JAX,Not enough information,23,31,31,17.66,-8,0,,9,230.1,214,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Eric McAlister,WR,FA,Not enough information,24,33,32,15.84,-8,1,,15,341.2,240,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Kejon Owens,RB,MIN,Not enough information,26,34,33,12.19,-7,1,,11,376.0,246,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Chris Brazzell,WR,CAR,Not enough information,28,37,34,8.9,-6,3,,16,150.0,147,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Kentrel Bullock,RB,CIN,Not enough information,25,35,35,8.61,-10,0,,10,999.0,262,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; needs_data_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Robert Henry Jr.,RB,WAS,Not enough information,29,38,36,8.14,-7,2,,13,Not enough information,Not enough information,Not enough information,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Seth McGowan,RB,IND,Not enough information,30,39,37,7.95,-7,2,,14,331.5,238,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Omar Cooper,WR,NYJ,Not enough information,33,41,38,7.95,-5,3,,19,85.5,83,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Dominic Richardson,RB,DAL,Not enough information,35,42,39,7.95,-4,3,,15,999.0,254,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Hank Beatty,WR,TEN,Not enough information,37,44,40,7.95,-3,4,,22,999.0,252,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Emmanuel Henderson,WR,SEA,Not enough information,39,46,41,7.95,-2,5,,24,357.0,244,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Roman Hemby,RB,LV,Not enough information,41,47,42,7.95,-1,5,,16,271.5,234,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Chase Roberts,WR,LV,Not enough information,43,48,43,7.95,0,5,,26,999.0,255,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Jordan Hudson,WR,DAL,Not enough information,45,50,44,7.95,1,6,,27,379.4,247,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Kevin Coleman,WR,MIA,Not enough information,46,51,45,7.95,1,6,,28,220.2,207,Depth / later,Reach,Reach,Reach,Reach,Reach,Not enough information,Not enough information,Not enough information,Not enough information,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
