ingredient_family,found_path,file_name,source_type,raw_vs_derived,file_size,modified_time,sha256,row_count,columns,season_coverage,position_coverage,player_id_fields,join_keys,row_grain,source_use_gate_status,leakage_asof_status,identity_risk,missingness_risk,formula_test_candidate,ranking_integration_candidate_later,availability_classification,park_status,notes,read_status
supporting_review_artifact,C:\NWR\Niners-War-Room-diverse-champion-refinement-predeclared-execution-v1-20260709\docs\hq\model\diverse_champion_refinement_predeclared_execution_v1_20260709\DIVERSE_CHAMPION_REFINEMENT_SOURCE_TRACE.md,DIVERSE_CHAMPION_REFINEMENT_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,2040,2026-07-09T16:58:16.324243+00:00,814f29923ebd140625a5a0cd66a71e81fce84a15f18a1f594464c38c4ca7421f,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
injury_availability,C:\NWR\Niners-War-Room-formula-data-mart-feature-availability-audit-v1-20260709\docs\hq\data_hygiene\formula_data_mart_feature_availability_audit_v1_20260709\FORMULA_DATA_MART_FEATURE_AVAILABILITY_AUDIT_V1_REPORT.md,FORMULA_DATA_MART_FEATURE_AVAILABILITY_AUDIT_V1_REPORT.md,review_packet_or_governance_artifact,derived_review_artifact,1990,2026-07-09T07:50:08.294801+00:00,91fb399a68a7b7e2a4bfce62d4a49013a16cce72143aa9e0debe22e498c76f68,,,,,,,,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PRESENT_NEEDS_ASOF_REVIEW,active_candidate_or_rebuildable,"Local templates/leads exist; nflverse injury source has known 2025 continuity risk, so use only as point-in-time review gate after source review.",not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-formula-data-mart-feature-availability-audit-v1-20260709\docs\hq\data_hygiene\formula_data_mart_feature_availability_audit_v1_20260709\FORMULA_DATA_SOURCE_TRACE.md,FORMULA_DATA_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,3628,2026-07-09T07:50:08.294801+00:00,0348c1f3e9699ce63e331c44927166cf5846d6279197b7d8cbb11ee9a040fab3,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
injury_availability,C:\NWR\Niners-War-Room-formula-data-mart-feature-availability-audit-v1-20260709\docs\hq\data_hygiene\formula_data_mart_feature_availability_audit_v1_20260709\FORMULA_FEATURE_AVAILABILITY_MATRIX.csv,FORMULA_FEATURE_AVAILABILITY_MATRIX.csv,review_packet_or_governance_artifact,derived_review_artifact,18898,2026-07-09T07:50:08.276852+00:00,51ce6e181273f0f835ef130d150c0a99545a9f816abeee4838562603cb77f036,40,feature_family|category|current_status|availability_class|position_scope|season_coverage|row_count|non_null_rows|source_path_or_artifact|join_key|decision_date_safe|leakage_status|source_use_gate|formula_test_eligibility|ranking_integration_eligibility|production_model_use_allowed|review_only_allowed|display_only_allowed|blocked_reason|position_coverage|caveats,,,,,play_level_or_team_level,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0333_cell_missing_rate,no_or_later,no_currently_blocked,PRESENT_NEEDS_ASOF_REVIEW,active_candidate_or_rebuildable,"Local templates/leads exist; nflverse injury source has known 2025 continuity risk, so use only as point-in-time review gate after source review.",csv
supporting_review_artifact,C:\NWR\Niners-War-Room-formula-data-mart-feature-availability-audit-v1-20260709\docs\hq\data_sources\nflverse_core_usage_review_dataset_v1_20260701\nwr_player_week_redzone_sidecar_v1.parquet,nwr_player_week_redzone_sidecar_v1.parquet,review_packet_or_governance_artifact,derived_review_artifact,44028,2026-07-09T07:44:53.383298+00:00,38e36ea53b6bd4a77680fd9a6285c1d35fc7b2e0a59c6a2bd28ba953746ff88e,6424,season|week|player_id_sleeper|player_id_gsis|red_zone_targets|red_zone_carries|red_zone_pass_attempts|rz_att_blocked_present|pbp_red_zone_targets|pbp_red_zone_carries|pbp_red_zone_pass_attempts|pbp_validation_status|redzone_source|missingness_rule|review_only|model_use_allowed|training_allowed|source_truth_allowed,2024|2025,,,season|week,play_level_or_team_level,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.2066_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,parquet
supporting_review_artifact,C:\NWR\Niners-War-Room-formula-results-master-review-data-upgrade-pivot-v1-20260709\docs\hq\master\formula_results_master_review_data_upgrade_pivot_v1_20260709\FORMULA_DATA_UPGRADE_PRIORITY_MATRIX.csv,FORMULA_DATA_UPGRADE_PRIORITY_MATRIX.csv,review_packet_or_governance_artifact,derived_review_artifact,3204,2026-07-09T17:07:27.688415+00:00,9275831c04bfcd7253a46a014e288a43e79a628335c5c258f10c53fc7b90b795,8,priority_rank|upgrade_option|expected_near_term_accuracy_value|formula_gauntlet_readiness_value|current_evidence|current_blocker|recommended_action|status|notes,,,,,play_level_or_team_level,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0000_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
supporting_review_artifact,C:\NWR\Niners-War-Room-formula-results-master-review-data-upgrade-pivot-v1-20260709\docs\hq\master\formula_results_master_review_data_upgrade_pivot_v1_20260709\FORMULA_RESULTS_MASTER_REVIEW_DATA_UPGRADE_PIVOT_V1_REPORT.md,FORMULA_RESULTS_MASTER_REVIEW_DATA_UPGRADE_PIVOT_V1_REPORT.md,review_packet_or_governance_artifact,derived_review_artifact,2022,2026-07-09T17:07:27.688415+00:00,feac660a1b09c739ebe8079285c458d65ba0759663dd92f206813694368fa454,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-formula-results-master-review-data-upgrade-pivot-v1-20260709\docs\hq\master\formula_results_master_review_data_upgrade_pivot_v1_20260709\FORMULA_RESULTS_MASTER_SOURCE_TRACE.md,FORMULA_RESULTS_MASTER_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,2435,2026-07-09T17:07:27.688415+00:00,ff60557788f3b8e540c6ee3536e6bfc1323e6c6ae1e387bfa9d4e92b1c92ac77,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-full-review-only-formula-gauntlet-candidate-arena-v1-20260709\docs\hq\model\full_review_only_formula_gauntlet_candidate_arena_v1_20260709\GAUNTLET_SOURCE_TRACE.md,GAUNTLET_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,2872,2026-07-09T09:37:52.367076+00:00,229b517f2e5dca644ed22b43f6657a683bd47b86174fdbb2787ab91285e33070,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-gauntlet-candidate-diversity-clustering-audit-v1-20260709\docs\hq\model\gauntlet_candidate_diversity_clustering_audit_v1_20260709\GAUNTLET_DIVERSITY_AUDIT_SOURCE_TRACE.md,GAUNTLET_DIVERSITY_AUDIT_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,1175,2026-07-09T09:58:25.156568+00:00,fb754e4f7ab9a8b65f1136feade6fddc6340f31ebf32fd52c216439865d92bb5,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
injury_availability,C:\NWR\Niners-War-Room-high-value-signal-data-locator-audit-v1-20260709\docs\hq\data_hygiene\high_value_signal_data_locator_audit_v1_20260709\HIGH_VALUE_SIGNAL_AVAILABILITY_CLASSIFICATION.csv,HIGH_VALUE_SIGNAL_AVAILABILITY_CLASSIFICATION.csv,review_packet_or_governance_artifact,derived_review_artifact,8993,2026-07-09T18:07:45.965826+00:00,9358b14ebd096b2668efdd1e7464d4a22d75dbbe2a7732039efaaf00bc91cf01,7,signal_family|signal_family_label|candidate_artifact_count|availability_status|status_counts|formula_test_candidate_count|top_candidate_paths|source_use_gate_status|ranking_integration_status|notes,,,,,play_level_or_team_level,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0000_cell_missing_rate,no_or_later,no_currently_blocked,PRESENT_NEEDS_ASOF_REVIEW,active_candidate_or_rebuildable,"Local templates/leads exist; nflverse injury source has known 2025 continuity risk, so use only as point-in-time review gate after source review.",csv
supporting_review_artifact,C:\NWR\Niners-War-Room-high-value-signal-data-locator-audit-v1-20260709\docs\hq\data_hygiene\high_value_signal_data_locator_audit_v1_20260709\HIGH_VALUE_SIGNAL_DATA_LOCATOR_AUDIT_V1_REPORT.md,HIGH_VALUE_SIGNAL_DATA_LOCATOR_AUDIT_V1_REPORT.md,review_packet_or_governance_artifact,derived_review_artifact,3912,2026-07-09T18:07:45.966825+00:00,09473c41e62b23fb78ba4b6228487927da62fd37718989ecddba266d68025b34,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-high-value-signal-data-locator-audit-v1-20260709\docs\hq\data_hygiene\high_value_signal_data_locator_audit_v1_20260709\HIGH_VALUE_SIGNAL_PRIORITY_RANKING.csv,HIGH_VALUE_SIGNAL_PRIORITY_RANKING.csv,review_packet_or_governance_artifact,derived_review_artifact,3923,2026-07-09T18:07:45.965826+00:00,8b9a6e5714588f0fc3b60050eb5609e6dbbb5bb5941b5f2872e4666b0f77c078,7,priority_rank|signal_family|expected_accuracy_upside|source_reliability|historical_asof_safety|join_feasibility|coverage|near_term_formula_data_mart_usefulness|future_rankings_usefulness|current_status|candidate_artifacts|best_current_artifact|recommended_next_action,,,,,play_level_or_team_level,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0000_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
supporting_review_artifact,C:\NWR\Niners-War-Room-high-value-signal-data-locator-audit-v1-20260709\docs\hq\data_hygiene\high_value_signal_data_locator_audit_v1_20260709\HIGH_VALUE_SIGNAL_SOURCE_TRACE.md,HIGH_VALUE_SIGNAL_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,2925,2026-07-09T18:07:45.967826+00:00,62eeee8780cf05b13bb26941166849ddfa29cf182357ea63f3b5368272ceaec5,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-pfr-rb-broken-tackle-data-mart-join-component-test-v1-20260709\docs\hq\data_hygiene\pfr_rb_broken_tackle_data_mart_join_component_test_v1_20260709\PFR_RB_BROKEN_TACKLE_DATA_MART_JOIN_COMPONENT_TEST_V1_REPORT.md,PFR_RB_BROKEN_TACKLE_DATA_MART_JOIN_COMPONENT_TEST_V1_REPORT.md,review_packet_or_governance_artifact,derived_review_artifact,2641,2026-07-09T18:22:25.070565+00:00,1bb8d46da7b76319477698998bdc912f181e26fe6d409b781da99210121886d8,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
supporting_review_artifact,C:\NWR\Niners-War-Room-pfr-rb-broken-tackle-data-mart-join-component-test-v1-20260709\docs\hq\data_hygiene\pfr_rb_broken_tackle_data_mart_join_component_test_v1_20260709\PFR_RB_BROKEN_TACKLE_SCHEMA_VALIDATION.csv,PFR_RB_BROKEN_TACKLE_SCHEMA_VALIDATION.csv,review_packet_or_governance_artifact,derived_review_artifact,2373,2026-07-09T18:22:24.491001+00:00,8ed34d2e7ffffcbc465f644751687adc31db7178609f0881847a942a098e0453,14,check_name|status|observed_value|expected_value|notes,,,,,play_level_or_team_level,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0000_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
supporting_review_artifact,C:\NWR\Niners-War-Room-pfr-rb-broken-tackle-data-mart-join-component-test-v1-20260709\docs\hq\data_hygiene\pfr_rb_broken_tackle_data_mart_join_component_test_v1_20260709\PFR_RB_BROKEN_TACKLE_SOURCE_LEDGER.csv,PFR_RB_BROKEN_TACKLE_SOURCE_LEDGER.csv,review_packet_or_governance_artifact,derived_review_artifact,5216,2026-07-09T18:22:24.486001+00:00,1e8147b34d20bb4425316feae63dd2918737a4c8fc2658007e261b6e96c1520d,8,source_path|source_type|raw_vs_derived|file_size|modified_time|sha256|row_count|columns|seasons_covered|player_id_fields|position_fields|team_fields|join_keys|missingness|duplicate_keys|source_use_gate_status|leakage_asof_status|safe_for_review_only_lagged_formula_mart_use|notes,,,,,play_level_or_team_level,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.2697_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
supporting_review_artifact,C:\NWR\Niners-War-Room-pfr-rb-broken-tackle-data-mart-join-component-test-v1-20260709\docs\hq\data_hygiene\pfr_rb_broken_tackle_data_mart_join_component_test_v1_20260709\PFR_RB_BROKEN_TACKLE_SOURCE_TRACE.md,PFR_RB_BROKEN_TACKLE_SOURCE_TRACE.md,review_packet_or_governance_artifact,derived_review_artifact,1998,2026-07-09T18:22:25.072567+00:00,e9244fb83e015b7ffe036c85c5b403983fbf8d104d43624888f58fad32c3d561,,,,,,,,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,not_tabular
qb_passing_quality,C:\NWR_REVIEW\advanced_metrics_source_cache_20260707\espn_data__qbr_season_level.parquet,espn_data__qbr_season_level.parquet,local_advanced_metrics_cache,raw_or_source_cache,78012,2026-07-08T00:40:27.394304+00:00,b83b7a1f9204028de06d69ef94bdabf9301679279adc0819df287d5b44e2e967,1523,season|season_type|game_week|team_abb|player_id|name_short|rank|qbr_total|pts_added|qb_plays|epa_total|pass|run|exp_sack|penalty|qbr_raw|sack|name_first|name_last|name_display|headshot_href|team|qualified,2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,,player_id|name_display,season|player_id,player_season,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0202_cell_missing_rate,yes_after_schema_source_asof_identity_validation,no_currently_blocked,PRESENT_PARTIAL_COVERAGE,active_candidate_or_rebuildable,"NGS passing and ESPN QBR/PFR passing files exist, but ESPN/PFR/broad passing source gates prevent immediate model use.",parquet
qb_passing_quality,C:\NWR_REVIEW\advanced_metrics_source_cache_20260707\espn_data__qbr_week_level.parquet,espn_data__qbr_week_level.parquet,local_advanced_metrics_cache,raw_or_source_cache,294869,2026-07-08T00:40:28.203468+00:00,7bdae48eda57f49bb6c069d0b92d6e34295bd0970d6878a2454ffd35a5ff2eaf,10709,season|season_type|game_id|game_week|week_text|team_abb|player_id|name_short|rank|qbr_total|pts_added|qb_plays|epa_total|pass|run|exp_sack|penalty|qbr_raw|sack|name_first|name_last|name_display|headshot_href|team|opp_id|opp_abb|opp_team|opp_name|week_num|qualified,2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,,player_id|name_display,season|player_id,player_season,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,0.0012_cell_missing_rate,yes_after_schema_source_asof_identity_validation,no_currently_blocked,PRESENT_PARTIAL_COVERAGE,active_candidate_or_rebuildable,"NGS passing and ESPN QBR/PFR passing files exist, but ESPN/PFR/broad passing source gates prevent immediate model use.",parquet
