source_family,provider,prior_status,reconciled_status,public_status,historical_coverage,row_grain,identity_keys,current_nwr_gate,usable_for_future_review,model_approved,ui_approved,source_truth_approved,blocked_reason,what_would_unblock,notes
"participation data","nflverse participation","partial_review_only","YELLOW_REVIEW_ONLY","public open-source data package","recent historical coverage; future lane must confirm continuity and fields","player-play; participation row","game_id; play_id; gsis_id; team; season; week","review context only; route denominator not admitted","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","primary-receiver route labels are not full routes-run denominators","source-continuity audit, field dictionary, row-grain proof, missingness report, and explicit no-route-denominator gate","Useful for route context; cannot unlock true YPRR/TPRR."
"injuries","nflverse; public injury reports","partial_review_only","YELLOW_PARTIAL_COVERAGE","public package or public report family","historical coverage varies by source and season","player-week; report row","gsis_id where available; player name; team; season; week","availability and as-of gates required","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","timing, status semantics, and current/future leakage risk","report-date retention, as-of audit, status dictionary, identity audit, coverage matrix, and zero/missing policy","Useful for availability controls only after timing gate."
"rosters","nflverse rosters","identity_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public open-source data package","broad historical roster coverage; field availability varies","player-season; player-week depending file","gsis_id; pfr_id; player name; team; season","identity gates remain binding; no source promotion from V2","yes","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","edge identity and stale-team cases remain possible","identity audit, season/week as-of rules, and missingness report","Useful for positions, teams, ages, IDs, and joining public stat surfaces."
"depth charts","nflverse depth charts; team/public depth chart surfaces","partial_review_only","YELLOW_SOURCE_PROVENANCE_LIMITED","public but staleness-prone","recent or source-dependent historical coverage","team-week; player-depth-chart row","gsis_id where available; player name; team; week; position","future staleness and timestamp gate required","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","staleness, source-change, and role ambiguity","timestamped source contract, as-of policy, source priority rules, identity audit, and staleness reporting","Use first as review-only role context."
"draft/combine","nflverse; official NFL draft/combine facts","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public factual source family","historical draft/combine coverage; future lane must confirm completeness","prospect row; draft pick row; combine row","gsis_id where available; pfr_id; college id; player name; draft year","completed facts only; no mock or big-board leakage","yes","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","pre-draft projections, mocks, and market ranks remain blocked","completed-fact source receipt, identity bridge, coverage report, and pre/post-draft mode separation","Completed NFL draft facts are distinct from projections or market rankings."
"schedules and team context","nflverse schedules; public schedule data","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public open-source data package","broad historical schedule coverage","game; team-game","game_id; team; season; week","existing NWR source gates apply; no new approval from V2","yes","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","none for review planning","field-level gate, source receipts, and frozen season/week alignment","Useful for opponent, team environment, and season/week alignment."
"air yards and receiving context","nflverse where present; public receiver stat surfaces","partial_review_only","YELLOW_PARTIAL_COVERAGE","public or partial depending field","field-specific coverage; future lane must confirm source and timing","player-week; player-season","gsis_id or pfr_id where available; season; week; team","future field-level gate required","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","field coverage and timing vary","field dictionary, coverage matrix, source receipt, identity audit, and missingness controls","Useful for WOPR and air-yards proxies only if source-safe."
"SumerSports route surfaces","SumerSports public web surfaces","unapproved_review_surface","RED_BLOCKED_NO_SAFE_PUBLIC_SOURCE","public surface but unapproved as feed","coverage unclear; reproducibility unclear","leaderboard or article/table row","usually player name/team/season unless IDs exposed","future route/source-admission lane required","no_for_scoring","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","not an approved reproducible join-safe feed","stable public endpoint, license review, source snapshots, ID keys, coverage matrix, and route denominator proof","Track only as a source-discovery lead."
"PFF","Pro Football Focus","blocked","RED_BLOCKED_PROPRIETARY","commercial/proprietary","coverage depends on paid product and license","player-game; player-season; charting field depending product","vendor IDs and names; exact export dependent","blocked unless future license and source-admission lane exists","no","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","commercial/proprietary and field contamination risk","explicit license, factual-field isolation, source contract, identity audit, and blocked-field scan","Exact PFF Elusive Rating remains blocked and must not be calculated or displayed."
"SIS","Sports Info Solutions","blocked","RED_BLOCKED_PROPRIETARY","commercial/proprietary","coverage depends on paid product and license","player-game; player-season; charting field depending product","vendor IDs and names; exact export dependent","blocked unless future license and source-admission lane exists","no","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","commercial/proprietary charting license risk","explicit license, source contract, field dictionary, reproducible export, identity audit, and coverage report","Potential research value does not equal source admission."
"Sportradar","Sportradar","blocked","RED_BLOCKED_PROPRIETARY","commercial API/proprietary","coverage depends on contract and product","API object; player-game; player-season depending endpoint","provider IDs; mapping required","blocked unless future license and source-admission lane exists","no","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","commercial API access and licensing risk","contracted access, endpoint field dictionary, provider-to-NWR ID bridge, provenance receipts, and as-of audit","Not a public source-safe feed for this packet."
"commercial FTN","FTN premium/commercial products","blocked","RED_BLOCKED_PROPRIETARY","commercial/proprietary","coverage depends on paid product and license","player-game; player-season; charting field depending product","vendor IDs or player names depending export","blocked unless future license and source-admission lane exists","no","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","commercial/proprietary; public subset is separate","license review, factual-field isolation, reproducible export, source contract, identity audit, and coverage report","Commercial FTN remains blocked even if public FTN subset is studied."
"public route/YPRR/TPRR web surfaces","various public route webpages and leaderboards","review_only_fragmentary","RED_BLOCKED_NO_SAFE_PUBLIC_SOURCE","public fragments may exist; no approved feed","fragmented, unstable, or source-dependent","leaderboard/article/table row","often name/team/season only","not an approved source feed","no_for_scoring","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no admitted broad public reproducible join-safe feed","stable access, license/usage proof, source snapshots, durable IDs, row grain, coverage, and missingness report","May guide source scouting but not scoring."
"route/YPRR/TPRR true denominator sources","various public/commercial route surfaces","blocked_until_admitted","RED_ROUTE_DENOMINATOR_UNSAFE","no approved broad public reproducible feed found","coverage fragmented or license-dependent","varies; route table or proprietary charting row","often name/team/season only unless vendor IDs exposed","future route source-admission lane required","no_for_true_route_metrics","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","full routes-run denominator not safely available","safe full routes-run feed, source contract, field dictionary, identity audit, coverage matrix, licensing review, leakage audit, and validation readiness","True YPRR/TPRR remain blocked."
"name-only join method","not a source; identity method","blocked_join_method","RED_IDENTITY_UNSAFE","not applicable","not applicable","join proposal","player name only; sometimes team/season","not an approved join method","no","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","name-only joins are not approved for source admission or model features","durable ID bridge through GSIS, PFR IDs, nflverse crosswalks, or manually approved identity mapping","Name-only matching may create human review queues only, not approved joins."
