final_board_rank,player,position,nfl_team,rookie_rank_display_only,warning_severity,manual_bucket,main_risk,action_if_unconfirmed,trap_categories,draft_day_instruction,source,does_not_override_final_board_rank
48,Donaven Mcculley,WR,MIA,43,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Is Donaven Mcculley's feature-driven rank move (-19) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
49,Caullin Lacy,WR,NYJ,44,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Caullin Lacy have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
50,Deion Burks,WR,IND,45,critical_trap_guard,board_manual_review,"rookie_warning=critical_trap_guard; manual_question=Does Deion Burks's NFL draft capital/role (round=8; pick=254; needs_data: nfl_depth_chart_target_earning_role) actually support rank 45, or is this production profile a trap?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
51,Trebor Pena,WR,JAC,46,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Is Trebor Pena's feature-driven rank move (-15) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
52,Braylon James,WR,needs_data,47,critical_trap_guard,board_manual_review,"rookie_warning=critical_trap_guard; manual_question=Is Braylon James missing model context because of a join/data issue, and should he stay a manual hold?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
53,Jordyn Tyson,WR,NO,48,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Is Jordyn Tyson's feature-driven rank move (-29) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
55,Eli Stowers,TE,PHI,49,manual_review,board_manual_review,rookie_warning=manual_review; manual_question=Is Eli Stowers an actual exception case in this 10-team 1QB non-PPR format?,manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
56,Kaelon Black,RB,SF,50,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Kaelon Black have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
57,Sam Roush,TE,CHI,51,manual_review,board_manual_review,rookie_warning=manual_review; manual_question=Is Sam Roush an actual exception case in this 10-team 1QB non-PPR format?,manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
58,Jamal Haynes,RB,CIN,52,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Jamal Haynes have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
59,Jamarion Miller,RB,needs_data,53,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Jamarion Miller have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
61,Chip Trayanum,RB,needs_data,54,critical_trap_guard,board_manual_review,"rookie_warning=critical_trap_guard; manual_question=Is Chip Trayanum missing model context because of a join/data issue, and should he stay a manual hold?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
