panel,label,artifact_column,source_dataset,display_condition,missing_rule,guardrail_note
Availability Timeline,Weekly roster status,weekly_roster_status,weekly_rosters,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,No injury-risk score
Availability Timeline,Injury report status,injury_report_status,injuries,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Missing injury is not healthy
Availability Timeline,Practice status,practice_status,injuries,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,No medical or comeback projection
Availability Timeline,Injury report date/week,injury_report_date_week,injuries,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Factual report date/week only
Roster-Window Context,Age,roster_birth_date_derived_age,rosters,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,No age-based recommendation
Roster-Window Context,Age source,age_source,rosters,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Source transparency only
Roster-Window Context,Roster team,nflverse_team,rosters,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Factual team context only
Roster-Window Context,Roster position,nflverse_position,rosters,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Factual position context only
Roster-Window Context,Roster status,roster_status,rosters,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Factual status only
Roster-Window Context,Contract context,contract_context,contracts,SAFE_NOW_DISPLAY_ONLY row and SAFE_NOW_DISPLAY_ONLY schema field,Not enough information,Non-financial only; no contract valuation
Deferred / Manual Review Items,Next game context,next_game_context,schedules,No current/future safe rows,Not enough information,Deferred
Deferred / Manual Review Items,Opponent context,opponent_context,schedules,No current/future safe rows,Not enough information,Deferred
Deferred / Manual Review Items,Bye context,bye_context,schedules,No current/future safe rows,Not enough information,Deferred
