field_name,field_type_or_example,source_dataset,required_for_sidecar,allowed_for_review,label_truth_allowed,model_use_allowed,training_allowed,source_truth_allowed,missingness_rule,notes
fg_made_0_19,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_20_29,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_30_39,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_40_49,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_50_59,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_60_,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_distance,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made_list,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_0_19,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_20_29,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_30_39,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_40_49,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_50_59,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_60_,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_distance,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_missed_list,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_pct,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fumble_recovery_opp,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fumble_recovery_own,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fumble_recovery_tds,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fumble_recovery_yards_opp,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fumble_recovery_yards_own,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
game_id,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
games,present_in_source_schema,player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
gwfg_att,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
gwfg_blocked,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
gwfg_distance,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
gwfg_distance_list,present_in_source_schema,player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
gwfg_made,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
gwfg_missed,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
headshot_url,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
kickoff_return_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
kickoff_returns,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
misc_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
opponent_team,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
pacr,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
passing_2pt_conversions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
passing_air_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
passing_cpoe,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context|quarantined_by_runner_policy
passing_epa,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context|quarantined_by_runner_policy
passing_first_downs,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
passing_interceptions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
passing_tds,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
passing_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
passing_yards_after_catch,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
pat_att,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
pat_blocked,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
pat_made,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
pat_missed,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
pat_pct,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
penalties,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
penalty_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
player_display_name,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
player_id,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
player_name,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
position,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
position_group,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
punt_return_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
punt_returns,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
racr,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
receiving_2pt_conversions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_air_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_epa,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context|quarantined_by_runner_policy
receiving_first_downs,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_fumbles,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_fumbles_lost,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_tds,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
receiving_yards_after_catch,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
recent_team,present_in_source_schema,player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
receptions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
rushing_2pt_conversions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
rushing_epa,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context|quarantined_by_runner_policy
rushing_first_downs,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
rushing_fumbles,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
rushing_fumbles_lost,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
rushing_tds,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
rushing_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
sack_fumbles,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
sack_fumbles_lost,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
sack_yards_lost,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
sacks_suffered,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
season,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,time_grain
season_type,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,time_grain
special_teams_tds,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
summary_level,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
target_share,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
targets,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
team,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,identity_context
week,present_in_source_schema,player_stats_weekly|player_stats_seasonal,true,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,time_grain
wopr,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
