"lane_name","verdict","local_commit","artifact_path","remote_hq_verified","status","local_only_vs_remote_b125","canonicalization_recommended","production_ranking_app_source_gates_blocked","notes"
"Autonomous ffopportunity / NGS Ingredient Upgrade Sequence V2","GREEN_AUTONOMOUS_INGREDIENT_UPGRADE_SEQUENCE_COMPLETED_REVIEW_ONLY","8a384e12a36736a27a4365ea3bc6337bfde91825","C:\NWR\Niners-War-Room-autonomous-ingredient-upgrade-sequence-v2-20260709\docs\hq\model\nwr_autonomous_ingredient_upgrade_sequence_v2_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","ffopportunity and NGS were partial-window promising only; no full-history plateau claim."
"nflverse EPA / Opportunity Sidecar V1","YELLOW_NFLVERSE_EPA_OPPORTUNITY_PARTIAL_WITH_CAVEATS","04316ca00c78f3804a26b5ff7520a32295b61042","C:\NWR\Niners-War-Room-nflverse-epa-opportunity-sidecar-v1-20260709\docs\hq\model\nflverse_epa_opportunity_formula_mart_sidecar_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","EPA sidecar joined broadly but EPA-only did not break the full-history plateau."
"nflverse Receiving Opportunity Sidecar V1","YELLOW_NFLVERSE_RECEIVING_OPPORTUNITY_PARTIAL_WITH_CAVEATS","30ec8d23c8e82d2dd28a6c7b67d7391b1ca8206b","C:\NWR\Niners-War-Room-nflverse-receiving-opportunity-sidecar-v1-20260709\docs\hq\model\nflverse_receiving_opportunity_formula_mart_sidecar_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Receiving opportunity was useful interaction context but not a full-history plateau breaker."
"nflverse Snap Counts / Depth Chart Role Sidecar V1","GREEN_NFLVERSE_SNAP_DEPTH_ROLE_ADDS_REVIEW_ONLY_SIGNAL","447df6a8771ff5931d823fb86585b420d3e082ab","C:\NWR\Niners-War-Room-nflverse-snap-depth-role-sidecar-v1-20260709\docs\hq\model\nflverse_snap_depth_role_formula_mart_sidecar_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Best broad-window additive signal; 0.763 across 2014-2025 and 5122 rows."
"Point-in-Time Injury Availability Data Mart Gate V1","YELLOW_POINT_IN_TIME_INJURY_AVAILABILITY_PARTIAL_WITH_CAVEATS","168969cffe7a2cc6fe237231cfdc931fc6805e7f","C:\NWR\Niners-War-Room-point-in-time-injury-availability-data-mart-gate-v1-20260709\docs\hq\model\point_in_time_injury_availability_data_mart_gate_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Injury availability useful as guardrail/context only; did not beat snap/depth."
"Ingredient Scoreboard Normalization / Best Candidate Consolidation V1","YELLOW_SCOREBOARD_NORMALIZED_RANKING_SIM_NOT_READY","70be361e7d440d139af99c403f157b894f6e09c8","C:\NWR\Niners-War-Room-ingredient-scoreboard-normalization-best-candidate-consolidation-v1-20260709\docs\hq\master\ingredient_scoreboard_normalization_best_candidate_consolidation_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Normalized full-history broad-window and partial-window scoreboards; ranking simulation not justified."
"Historical Market / ADP Source Gate and Data Mart Join V1","YELLOW_MARKET_ADP_FOUND_BUT_ASOF_GATE_NOT_PASSED","ee4c1505008bfead024aa326fb07155297491d91","C:\NWR\Niners-War-Room-historical-market-adp-source-gate-data-mart-join-v1-20260709\docs\hq\model\historical_market_adp_source_gate_data_mart_join_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Market/ADP sources found but no historical/as-of-safe formula sidecar was built."
"Rookie Draft Capital Data Mart Join / Component Test V1","YELLOW_ROOKIE_DRAFT_CAPITAL_PARTIAL_WITH_CAVEATS","f8978155f40b2cb9ba36b7b15947953cb6ae7542","C:\NWR\Niners-War-Room-rookie-draft-capital-data-mart-join-component-test-v1-20260709\docs\hq\model\rookie_draft_capital_data_mart_join_component_test_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Draft capital became rookie/sparse-history context only; no material formula lift."
"Ingredient Combination Plateau Review / Next Data Decision V1","GREEN_NEXT_DATA_LANE_SELECTED_AFTER_PLATEAU_REVIEW","cb1da15b8580c45d770396995e90bcae0e3dc6c3","C:\NWR\Niners-War-Room-ingredient-combination-plateau-review-next-data-decision-v1-20260709\docs\hq\master\ingredient_combination_plateau_review_next_data_decision_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Declared ingredient-combination plateau and selected team offensive environment as final test lane."
"Team Offensive Environment Sidecar V1","YELLOW_TEAM_OFFENSIVE_ENVIRONMENT_PARTIAL_WITH_CAVEATS","fe2ac881d48e87a03c32140f1bb6a1ea527db20f","C:\NWR\Niners-War-Room-team-offensive-environment-sidecar-v1-20260709\docs\hq\model\team_offensive_environment_sidecar_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Prior-team environment sidecar joined 5513 of 5518 rows but no material lift over 0.755 0.758 or 0.763."
