blocker_id,blocker_type,player_name,position,source_layer,detail,prevents_app_wiring,recommended_action,notes
BLOCKER-0015,MISSING_AGE,KC Concepcion,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"manual_question=Does KC Concepcion have a credible target-earning path on his NFL depth chart, including route/separation evidence? | gaps=career_yprr|targets_per_route_run|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share | do not draft at 1.03/1.04; keep verify-first or hold label visible | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0016,MISSING_AGE,Eric McAlister,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=soft_note; manual_question=Does Eric McAlister have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0017,MISSING_AGE,Kejon Owens,RB,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Does Kejon Owens have a credible early-down, goal-line, or first-down role path? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0018,MISSING_AGE,Sieh Bangura,RB,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Is Sieh Bangura's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0019,MISSING_AGE,Chris Brazzell,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=soft_note; manual_question=Does Chris Brazzell have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | sleeper_match; dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0020,MISSING_AGE,Jacob De Jesus,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Is Jacob De Jesus's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0021,MISSING_AGE,Dominic Richardson,RB,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Does Dominic Richardson have a credible early-down, goal-line, or first-down role path? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0022,MISSING_AGE,Devin Voisin,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Does Devin Voisin have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0023,MISSING_AGE,Hank Beatty,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=soft_note; manual_question=Is Hank Beatty's feature-driven rank move (-15) supported by NFL team, role, and draft-capital context? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0024,MISSING_AGE,O'Mega Blake,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,rookie_warning=soft_note; manual_question=Does O'Mega Blake have a credible target-earning path on his NFL depth chart? | manual review before draft use | sleeper_match | Rookie/prospect has no fabricated veteran Dynasty Rank.
BLOCKER-0025,MISSING_AGE,Barika Kpeenu,RB,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Does Barika Kpeenu have a credible early-down, goal-line, or first-down role path? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0026,MISSING_AGE,Braylon James,WR,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=critical_trap_guard; manual_question=Is Braylon James missing model context because of a join/data issue, and should he stay a manual hold? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0027,MISSING_AGE,Jamarion Miller,RB,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=manual_review; manual_question=Does Jamarion Miller have a credible early-down, goal-line, or first-down role path? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0028,MISSING_AGE,Chip Trayanum,RB,Rookie/Prospect Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"rookie_warning=critical_trap_guard; manual_question=Is Chip Trayanum missing model context because of a join/data issue, and should he stay a manual hold? | manual review before draft use | dynastyprocess_crosswalk_candidate | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0029,MISSING_AGE,Zay Flowers,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Zay Flowers. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0030,MISSING_AGE,Chris Olave,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Chris Olave. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0031,MISSING_AGE,Drake Maye,QB,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Scored + Warnings; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Drake Maye. | Scored + Warnings | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0032,MISSING_AGE,Jameson Williams,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Jameson Williams. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0033,MISSING_AGE,Alec Pierce,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. No exact local match for Tim name; local universe has possible Alec Pierce (WR, IND). Preserve Tim name and review identity manually. Identity normalized from Tim/manual name 'alex pierce' to Sleeper/local canonical 'Alec Pierce' (WR, IND); Tim approved typo repair 2026-06-20. Sleeper transaction evidence showed completed drop. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only."
BLOCKER-0034,MISSING_AGE,Jaylen Warren,RB,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Jaylen Warren. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0035,MISSING_AGE,Dak Prescott,QB,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Scored + Warnings; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Dak Prescott. | Scored + Warnings | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0036,MISSING_AGE,Rashee Rice,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Rashee Rice. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0037,MISSING_AGE,Brian Thomas,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. No exact local match for Tim name; local universe has possible Brian Thomas (WR, JAX). Preserve Tim name and review identity manually. Identity normalized from Tim/manual name 'brian thomas jr' to Sleeper/local canonical 'Brian Thomas' (WR, JAX); Tim approved alias repair 2026-06-20. Sleeper transaction evidence showed completed drop. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only."
BLOCKER-0038,MISSING_AGE,Keenan Allen,WR,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; nfl_team_unknown; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Keenan Allen. NFL team unavailable in local player universe; manual review required. Tim approved NFL free-agent status with blank/UNKNOWN team acceptable 2026-06-20. Sleeper transaction evidence showed completed drop. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0039,MISSING_AGE,Brock Purdy,QB,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Brock Purdy. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0040,MISSING_AGE,Darren Waller,TE,Frozen Baseline Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,veteran_trust_status=Capped Score; nfl_team_unknown; Tim/Master manual dropped-veterans source for first live-test candidate. Exact local identity match: Darren Waller. NFL team unavailable in local player universe; manual review required. Tim approved NFL free-agent status with blank/UNKNOWN team acceptable 2026-06-20. Sleeper transaction evidence showed completed drop. | Capped Score | sleeper_match; dynastyprocess_crosswalk_candidate | Frozen baseline/checkpoint row only.
BLOCKER-0041,MISSING_AGE,John Metchie,WR,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate | PDF free-agent availability context only.
BLOCKER-0042,MISSING_AGE,Joe Milton,QB,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context; display_only_adp_context_available | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate | PDF free-agent availability context only.
BLOCKER-0043,MISSING_AGE,Audric Estime,RB,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate | PDF free-agent availability context only.
BLOCKER-0044,MISSING_AGE,Atlanta Falcons,DST,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context | sleeper_match | PDF free-agent availability context only.
BLOCKER-0045,MISSING_AGE,Miami Dolphins,DST,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context | sleeper_match | PDF free-agent availability context only.
BLOCKER-0046,MISSING_AGE,Dont'e Thornton,WR,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context; display_only_adp_context_available | missing_stats_first_component_evidence|missing_efficiency_context_evidence|missing_stats_first_confidence_cap|missing_lifecycle_or_role_shape_evidence | Need stats-first component evidence. | missing efficiency context evidence | missing stats first confidence cap | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate | PDF free-agent availability context only.
BLOCKER-0047,MISSING_AGE,Joshua Palmer,WR,PDF Free-Agent Availability Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,not_matched_full_dynasty_source; not_matched_current_tuned_candidate; not_matched_roster_age_context | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate | PDF free-agent availability context only.
BLOCKER-0048,REVIEW_NEEDED_ROW,Puka Nacua,WR,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0049,REVIEW_NEEDED_ROW,Jaxon Smith-Njigba,WR,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0050,REVIEW_NEEDED_ROW,Bijan Robinson,RB,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0051,REVIEW_NEEDED_ROW,Jonathan Taylor,RB,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|rb_dynasty_age_curve_after_27_active|rb_age_window_caution_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | rb dynasty age curve after 27 active | rb age window caution active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0052,REVIEW_NEEDED_ROW,Jahmyr Gibbs,RB,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0053,REVIEW_NEEDED_ROW,Ja'Marr Chase,WR,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0054,REVIEW_NEEDED_ROW,Amon-Ra St. Brown,WR,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|repeated_header_rows_removed=1|partial_first_down_confidence_cap|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | repeated header rows removed=1 | Need stronger first-down evidence or accept confidence cap. | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0055,REVIEW_NEEDED_ROW,Trey McBride,TE,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|te_upper_band_guard_v2_elite_exception|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | te upper band guard v2 elite exception | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0056,REVIEW_NEEDED_ROW,De'Von Achane,RB,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0057,REVIEW_NEEDED_ROW,George Pickens,WR,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_team_status_warning | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Current team/status was repaired from local RotoWire source context. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0058,REVIEW_NEEDED_ROW,James Cook,RB,Veteran Full Dynasty Layer,Row remains REVIEW_NEEDED in the review artifact.,yes,Clear manual review/source caveats before app wiring.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
