phase,priority,task_id,title,source_agents,safe_now,blocked_by,target_area,recommended_action,acceptance_criteria,suggested_tests,do_not_touch
3_data_evidence_governance,P1,DATA-02,Preserve Agent 1 supplemental CFBD findings not in Agent 3 final,CFBD Agent 1,YES,Human review/source repair before any promotion,CFBD review archive,"Archive Agent1’s full 71-row output as supplemental review evidence. Specifically preserve Kevin Coleman Jr. duplicate CFBD ID recommendation as unresolved/de-dupe-needed, not final human approval.","Agent1 counts preserved: APPROVE=11, REJECT=52, KEEP_BLOCKED=8. Kevin Coleman Jr. rows 5232648 and 5235888 remain review-only and require de-dupe review. Not merged into Agent3 final approval list unless a human later approves.",Supplemental archive count test; duplicate CFBD ID warning test.,Do not convert Agent1 APPROVE to approved_by_human or model input.
3_data_evidence_governance,P1,DATA-03,Preserve Agent 2 CFBD production context review-only,CFBD Agent 2,YES,Human/source repair before any promotion,CFBD production context review archive,Archive Agent2’s 15 production-context rows. Carry APPROVE/REJECT/NEEDS_MORE_INFO as agent recommendations only.,"Counts preserved: APPROVE=5, REJECT=9, NEEDS_MORE_INFO=1; production_context_valid yes=5/no=9/unclear=1; all flags review-only false/false/true.",Flag/count validation; no CFBD production field appears in model feature manifests.,No production stats model input.
3_data_evidence_governance,P1,DATA-04,Evidence promotion workflow docs/tests,Whole Project Agent 2,YES,None,evidence registry/governance,Document review-only → display-only → model-candidate → approved gates with required coverage/leakage/licensing/human approval checks. Add tests requiring explicit model_input_allowed approval.,Every evidence field has review/display/model/training flags and gating notes; tests fail if any unapproved field enters feature list or decision logic.,Evidence registry schema test; feature-list gate test; promotion checklist presence test.,No actual promotion in this lane.
3_data_evidence_governance,P1,DATA-05,Backtest row-eligibility classifier without retuning,Whole Project Agent 2,YES,Backtest data availability for full use,model evaluation harness,Implement/harden classifier separating truth/caution/sensitivity/market buckets. Proxy rows never enter training/headline metrics.,Proxy and low-confidence rows excluded from training/headline metrics; caution metrics separate; no model retuning; outputs labeled review/diagnostic.,Classifier unit tests; proxy-exclusion tests; headline vs sensitivity metric tests.,No production model/rank changes.
3_data_evidence_governance,P1,DATA-06,Historical drop/draftable pool manifest scaffold,Whole Project Agent 2,YES for scaffold only,User-provided historical docs for actual data,league history evidence,Create empty/template manifest and validator for actual historical draft logs/free-agent pools; do not invent rows or use proxies as truth.,"Template requires source_class, confidence, as_of, source path, reviewed_by fields; no synthetic rows accepted as truth.",Manifest schema test; proxy-source rejection test.,No Gmail/raw body scrape; no proxy rows as training truth.
3_data_evidence_governance,P2,DATA-07,NFL usage panel design doc only,Whole Project Agent 2,YES for design only,Leakage-safe panel gate; licensed route metrics unavailable,nfl usage lane,Draft design/validator for public usage features with feature_as_of timestamps; keep red-zone/inside-10/inside-5 review-only display candidates; true routes/TPRR/YPRR blocked.,Design explicitly forbids target-window leakage and licensed route metrics; no field becomes model candidate.,Design doc lint/checklist; no implementation importing blocked vendor fields.,Do not touch active NFL usage lane unless explicitly assigned.
4_engineering_foundation,P0,ENG-01,Central path/settings module,Engineering Agent 3,YES if behavior-preserving,Needs careful worktree isolation,repo hygiene/deployment foundation,Create central path config service and refactor hard-coded C:\NWR paths out of production services while preserving protected artifact read-only behavior.,No production service contains hard-coded C:\NWR_SHARED_DATA or C:\NWR except docs/tests; app boots with configured roots; protected artifact writes still fail closed.,Path config tests; grep forbidden paths; protected artifact guardrail tests.,No source-truth rewrites. Do not track C:\NWR_SHARED_DATA or secrets.
4_engineering_foundation,P0,ENG-02,Packaging/import cleanup,Engineering Agent 3,YES if behavior-preserving,Path config coordination,build/imports/tests,Remove page-level sys.path.insert hacks through proper packaging/import setup.,pytest runs from repo root; representative services import from temp cwd; no page-level sys.path.insert remains; Streamlit pages still load.,Import hygiene test; app page smoke; pytest.,No functional model/rank changes.
4_engineering_foundation,P0,ENG-03,Service-test mapping and critical coverage,Engineering Agent 3,YES,None,QA,"Add mapping test showing every production service has a dedicated test or explicit waiver; prioritize import, trade, roster, team, ranking surface, market registry, evidence integration.",Mapping passes; critical uncovered services have normal and error-path tests; no behavior changes required.,tests/test_service_test_mapping.py plus dedicated unit tests.,No production behavior changes unless required by tests and explicitly described.
4_engineering_foundation,P1,ENG-04,Manifest-backed source expectations,Engineering Agent 3,YES if read-only,None,health/data validation,Move hard-coded row counts and hashes out of service code and into versioned manifests. Health checks read manifest and report mismatches.,Expected row counts/hashes are manifest-backed; mismatches are visible as RED/YELLOW; protected files are never rewritten.,Manifest expectation tests; protected mismatch fixture test.,Do not mutate Frozen Final Draft Board V1 or pinned manifest.
4_engineering_foundation,P1,ENG-05,Refresh controller extraction,Engineering Agent 3; App Agent 1,YES if behavior-preserving,None,refresh framework,Extract refresh run/summary/schema logic into pure service; Streamlit page becomes thin renderer. Keep source registry/manual/blocked policies intact.,Controller unit tests cover quick/full/protected/manual/failure summaries; UI remains same or clearer; blocked sources stay blocked.,tests/test_refresh_data_controller_service.py; page smoke.,No generic Gmail/vendor/RotoWire scrape.
4_engineering_foundation,P1,ENG-06,Secrets/settings safeguards and preflight gate,Engineering Agent 3,YES,None,security/operational safety,"Add settings abstraction, .env.example with names only, secret masking tests, raw-data tracked file scan, and one local preflight command.","No secret values printed; missing keys show NOT_CONFIGURED; preflight fails on raw shared data, local_exports, vendor/Gmail/cache/secrets, protected mutations, failing tests, forbidden absolute paths.",secret masking tests; preflight guardrail test; git tracked-file scan.,Do not include actual CFBD key or local secret path contents.
5_later_or_blocked,BLOCKED,BLOCK-01,Model input promotion / decision-page wiring,All relevant agents,NO,Explicit user approval gate plus evidence coverage/leakage/licensing/human review,model/rank/decision pages,Do not perform now. Keep model input and decision-page wiring blocked.,No model/rank/source truth files changed; all evidence remains review/display only.,Model feature scanner; git diff protected artifact check.,"Production model/rank logic, Candidate Rank, hidden sort, Dynasty Rank, final_board_rank."
5_later_or_blocked,BLOCKED,BLOCK-02,Hosted deployment,Engineering Agent 3,NO,Explicit hosted deployment approval + path/secret/state/CI readiness,deployment,Do not enable hosted deployment now. Work can prepare portability/preflight only.,Hosted deployment status remains blocked in docs/UI unless Tim explicitly approves.,Deployment flag/status test if present.,"Do not create public hosted secrets, DB, or live deployment workflow."
5_later_or_blocked,BLOCKED,BLOCK-03,Vendor/licensed advanced metrics and Gmail/raw evidence automation,Whole Project Agent 2; Engineering Agent 3,NO,License/privacy/source-policy approval,data sources,"Do not use true routes, true TPRR, true YPRR, vendor projections, raw Gmail bodies, or generic vendor/Gmail refresh. Keep manual/blocked.",Blocked data fields do not appear in features or tracked raw files.,Blocked token scan; raw tracked file scan; refresh registry policy test.,RotoWire/vendor/FantasyPros/Gmail raw data.
