candidate_manifest,field,status,material_unknown,exact_admission
hq2_three_year_stability_low_games_guard_v1,input_hashes,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,schemas,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,player_id_namespace,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,season,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,position,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,row_count,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,checkpoint_stage,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,output_hash,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,rank_assignment,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,tie_handling,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
hq2_three_year_stability_low_games_guard_v1,missing_data_behavior,RECOVERED_EXACT,FALSE,CANDIDATE_DEFINITION_ONLY
old_current_near_equivalent_replay,model_version,INFERRED_WITH_EVIDENCE,FALSE,BLOCKED
old_current_near_equivalent_replay,code_commit,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,formula_contract,INFERRED_WITH_EVIDENCE,FALSE,BLOCKED
old_current_near_equivalent_replay,source_families_versions,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,source_as_of_dates,DETERMINISTICALLY_DERIVED,FALSE,BLOCKED
old_current_near_equivalent_replay,input_hashes,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,schemas,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,player_id_namespace,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,season,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,position,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,row_count,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,checkpoint_stage,INFERRED_WITH_EVIDENCE,FALSE,BLOCKED
old_current_near_equivalent_replay,output_hash,RECOVERED_EXACT,FALSE,BLOCKED
old_current_near_equivalent_replay,rank_assignment,DETERMINISTICALLY_DERIVED,FALSE,BLOCKED
old_current_near_equivalent_replay,tie_handling,DETERMINISTICALLY_DERIVED,FALSE,BLOCKED
old_current_near_equivalent_replay,missing_data_behavior,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,model_version,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,code_commit,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,formula_contract,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,source_families_versions,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,source_as_of_dates,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,input_hashes,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,schemas,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,player_id_namespace,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,season,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,position,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,row_count,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,checkpoint_stage,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,output_hash,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,rank_assignment,RECOVERED_EXACT,FALSE,BLOCKED
current_board_only,tie_handling,DETERMINISTICALLY_DERIVED,FALSE,BLOCKED
current_board_only,missing_data_behavior,RECOVERED_EXACT,FALSE,BLOCKED
