feature_name,current_source_or_service,appears_in_replay_contract,approved_in_gate_e_six_feature_cap,pre_draft_allowed,post_draft_allowed,review_only,model_use_allowed,training_allowed,blocked_leakage,downgrade_behavior,required_gate,notes
draft_capital_bucket,Gate E six-feature cap / drafted-only review artifacts,no,yes,yes,yes,yes,false,false,false,review-only receipts; no model/training promotion in this lane,Gate E model-use approval,Named in the existing six-feature Gate E cap.
rookie_class_year,Gate E six-feature cap / drafted-only review artifacts,no,yes,yes,yes,yes,false,false,false,review-only receipts; no model/training promotion in this lane,Gate E model-use approval,Named in the existing six-feature Gate E cap.
position,Gate E six-feature cap / drafted-only review artifacts,no,yes,yes,yes,yes,false,false,false,review-only receipts; no model/training promotion in this lane,Gate E model-use approval,Named in the existing six-feature Gate E cap.
overall_pick,nflverse draft_picks / repaired artifacts,no,pending,yes,yes,yes,false,false,false,downgrade_to_review_only_or_blocked,Gate D/Gate E refresh,"Useful factual draft context, but not one of the six named Gate E features here."
draft_team,nflverse draft_picks,no,pending,yes,yes,yes,false,false,false,downgrade_to_review_only_or_blocked,Feature approval gate,Drafted team may be display context; model use remains closed.
combine measurements,nflverse combine,no,pending,pending,yes,yes,false,false,false,downgrade_to_review_only_or_blocked,WAIT_FOR_NFLVERSE_REFRESH_HEALTH_GREEN,Requires refresh-health receipts and later feature approval.
CFBD production,CFBD review artifacts,no,pending,pending,no,yes,false,false,yes,downgrade_to_review_only_or_blocked,CFBD identity approval gate,Candidate-only until human-approved identity and source policy exist.
CFBD transfer/team timeline,CFBD review artifacts,no,pending,pending,no,yes,false,false,yes,downgrade_to_review_only_or_blocked,CFBD identity approval gate,Timeline risk remains review-only.
recruiting context,missing or unapproved source,no,pending,pending,no,yes,false,false,yes,downgrade_to_review_only_or_blocked,Source-policy gate,Not approved for this lane.
age,tracked age/identity artifacts if available,no,pending,pending,no,yes,false,false,false,downgrade_to_review_only_or_blocked,Feature approval gate,"Age can be factual context, but not promoted here."
depth_chart_rank,depth charts,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,WAIT_FOR_NFLVERSE_REFRESH_HEALTH_GREEN,Post-draft opportunity context only; not historical pre-draft model input.
roster status,rosters / weekly rosters,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,WAIT_FOR_NFLVERSE_REFRESH_HEALTH_GREEN,Cannot confirm UDFA or serve as pre-draft feature.
snap counts,nflverse snap_counts,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,WAIT_FOR_NFLVERSE_REFRESH_HEALTH_GREEN,Future participation is leakage for pre-draft predictions.
injury context,nflverse injuries,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,WAIT_FOR_NFLVERSE_REFRESH_HEALTH_GREEN,Post-draft status context only unless a later gate approves a point-in-time use.
Outcome V2 labels,Outcome V2 exact verified first-down labels,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,Label-source gate,Targets/evaluation only; never input features.
player_stats,nflverse player_stats,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,WAIT_FOR_NFLVERSE_REFRESH_HEALTH_GREEN,Future sidecar comparison only until label-spec approval.
RotoWire display-only labels,local model_v4 display-only path,no,pending,no,yes,yes,false,false,yes,downgrade_to_review_only_or_blocked,Source-policy gate,Local/vendor-derived display comparison only.
DynastyProcess/ADP/market data,market sources,no,pending,no,no,yes,false,false,yes,downgrade_to_review_only_or_blocked,Blocked source policy,Market and ADP inputs remain blocked.
Gmail/vendor/manual notes,private/vendor/manual notes,no,pending,no,no,yes,false,false,yes,downgrade_to_review_only_or_blocked,Blocked source policy,Private/vendor/manual notes are not model inputs.
