model,evidence_layer,metric_alignment,scope,rows,seasons,effective_sample_size,spearman,spearman_ci_low,spearman_ci_high,rank_mae,top_n_precision,top_n_recall,false_positive_rate,false_negative_rate,score_mae,caveat
HQ2_THREE_YEAR_STABILITY_LOW_GAMES_GUARD_V1,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,QB,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
HQ2_THREE_YEAR_STABILITY_LOW_GAMES_GUARD_V1,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,RB,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
HQ2_THREE_YEAR_STABILITY_LOW_GAMES_GUARD_V1,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,WR,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
HQ2_THREE_YEAR_STABILITY_LOW_GAMES_GUARD_V1,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,TE,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
MULTI_YEAR_AVERAGE_2YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,OVERALL,5518,13,5518,0.695417,0.674761,0.716137,20.942733,0.600733,0.600733,0.098509,0.399267,35.814445,
MULTI_YEAR_AVERAGE_2YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,QB,754,13,754,0.730492,0.696363,0.763949,9.562334,0.570513,0.570513,0.112040,0.429487,51.827249,
MULTI_YEAR_AVERAGE_2YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,RB,1429,13,1429,0.648418,0.609383,0.680348,20.524843,0.583333,0.583333,0.116383,0.416667,44.860251,
MULTI_YEAR_AVERAGE_2YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,WR,2124,13,2124,0.701964,0.676706,0.721895,28.316384,0.649573,0.649573,0.099034,0.350427,32.730464,
MULTI_YEAR_AVERAGE_2YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,TE,1211,13,1211,0.717557,0.672919,0.748221,15.588770,0.519231,0.519231,0.071090,0.480769,20.579320,
MULTI_YEAR_AVERAGE_3YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,OVERALL,5518,13,5518,0.696732,0.675362,0.718013,20.902501,0.601648,0.601648,0.098283,0.398352,35.718621,
MULTI_YEAR_AVERAGE_3YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,QB,754,13,754,0.734754,0.698926,0.767445,9.549072,0.570513,0.570513,0.112040,0.429487,51.662450,
MULTI_YEAR_AVERAGE_3YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,RB,1429,13,1429,0.651019,0.609126,0.685476,20.424073,0.580128,0.580128,0.117278,0.419872,44.687661,
MULTI_YEAR_AVERAGE_3YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,WR,2124,13,2124,0.701570,0.677161,0.720240,28.297552,0.655983,0.655983,0.097222,0.344017,32.717562,
MULTI_YEAR_AVERAGE_3YR,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,TE,1211,13,1211,0.718514,0.673057,0.747894,15.565648,0.512821,0.512821,0.072038,0.487179,20.471589,
PRODUCTION_SAFE_LIFECYCLE_BASELINE,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,OVERALL,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
PRODUCTION_SAFE_LIFECYCLE_BASELINE,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,QB,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
PRODUCTION_SAFE_LIFECYCLE_BASELINE,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,RB,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
PRODUCTION_SAFE_LIFECYCLE_BASELINE,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,WR,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
PRODUCTION_SAFE_LIFECYCLE_BASELINE,BLOCKED_MISSING_RECEIPT,RANKING_ALIGNED,TE,0,0,0,,,,,,,,,,Exact governed definition or admitted historical output was not found.
PYF,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,OVERALL,5518,13,5518,0.681008,0.656027,0.702703,21.386009,0.592491,0.592491,0.100542,0.407509,37.172013,
PYF,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,QB,754,13,754,0.711726,0.674011,0.750394,9.931034,0.570513,0.570513,0.112040,0.429487,54.893767,
PYF,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,RB,1429,13,1429,0.633194,0.591334,0.663139,20.820154,0.580128,0.580128,0.117278,0.419872,45.953697,
PYF,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,WR,2124,13,2124,0.690960,0.665583,0.709609,28.867232,0.636752,0.636752,0.102657,0.363248,33.906026,
PYF,EXACT_DETERMINISTIC_REGENERATION,RANKING_ALIGNED,TE,1211,13,1211,0.700846,0.653750,0.734139,16.064410,0.506410,0.506410,0.072986,0.493590,21.503743,
